# arm64 load-stride trigger sweep
# timer: cntvct_el0 ticks
# ENABLE_CPP_RCTX=0
# stride_lines train_step avg_ticks
1	1	165
1	2	55
1	3	55
1	4	82
1	5	56
1	6	53
1	7	53
1	8	53
1	9	54
1	10	53
1	11	54
1	12	54
1	13	54
1	14	53
1	15	53
1	16	54
1	17	53
1	18	53
1	19	55
1	20	54
1	21	53
1	22	54
1	23	53
1	24	55
1	25	55
1	26	54
1	27	53
1	28	53
1	29	53
1	30	54
1	31	54
1	32	56
1	33	54
1	34	54
1	35	54
1	36	54
1	37	54
1	38	54
1	39	54
1	40	55
2	1	135
2	2	111
2	3	55
2	4	60
2	5	59
2	6	55
2	7	54
2	8	53
2	9	53
2	10	53
2	11	54
2	12	55
2	13	55
2	14	53
2	15	54
2	16	53
2	17	54
2	18	54
2	19	54
2	20	54
2	21	54
2	22	55
2	23	54
2	24	54
2	25	54
2	26	54
2	27	54
2	28	54
2	29	54
2	30	54
2	31	53
2	32	57
2	33	54
2	34	53
2	35	54
2	36	54
2	37	54
2	38	53
2	39	54
2	40	53
3	1	170
3	2	81
3	3	76
3	4	56
3	5	56
3	6	53
3	7	55
3	8	53
3	9	54
3	10	54
3	11	53
3	12	54
3	13	53
3	14	53
3	15	54
3	16	54
3	17	53
3	18	55
3	19	54
3	20	54
3	21	54
3	22	57
3	23	54
3	24	54
3	25	54
3	26	53
3	27	54
3	28	54
3	29	55
3	30	54
3	31	54
3	32	54
3	33	56
3	34	54
3	35	53
3	36	54
3	37	54
3	38	54
3	39	54
3	40	56
4	1	173
4	2	119
4	3	184
4	4	55
4	5	57
4	6	54
4	7	53
4	8	53
4	9	53
4	10	53
4	11	53
4	12	54
4	13	54
4	14	53
4	15	53
4	16	57
4	17	54
4	18	54
4	19	53
4	20	53
4	21	53
4	22	53
4	23	53
4	24	53
4	25	53
4	26	53
4	27	53
4	28	54
4	29	53
4	30	53
4	31	53
4	32	57
4	33	54
4	34	53
4	35	53
4	36	53
4	37	53
4	38	53
4	39	53
4	40	53
5	1	180
5	2	55
5	3	152
5	4	55
5	5	141
5	6	58
5	7	54
5	8	54
5	9	54
5	10	54
5	11	53
5	12	54
5	13	58
5	14	53
5	15	54
5	16	55
5	17	54
5	18	53
5	19	53
5	20	54
5	21	54
5	22	53
5	23	55
5	24	54
5	25	54
5	26	58
5	27	53
5	28	54
5	29	55
5	30	54
5	31	54
5	32	55
5	33	55
5	34	55
5	35	54
5	36	56
5	37	55
5	38	55
5	39	58
5	40	55
6	1	169
6	2	119
6	3	86
6	4	117
6	5	126
6	6	53
6	7	55
6	8	55
6	9	53
6	10	53
6	11	57
6	12	54
6	13	55
6	14	54
6	15	54
6	16	55
6	17	54
6	18	54
6	19	55
6	20	54
6	21	54
6	22	58
6	23	54
6	24	54
6	25	54
6	26	55
6	27	53
6	28	54
6	29	53
6	30	53
6	31	53
6	32	58
6	33	53
6	34	53
6	35	53
6	36	54
6	37	54
6	38	53
6	39	53
6	40	53
7	1	168
7	2	55
7	3	139
7	4	60
7	5	57
7	6	55
7	7	54
7	8	53
7	9	53
7	10	57
7	11	53
7	12	54
7	13	56
7	14	54
7	15	54
7	16	53
7	17	54
7	18	54
7	19	57
7	20	54
7	21	54
7	22	54
7	23	54
7	24	53
7	25	55
7	26	55
7	27	54
7	28	57
7	29	54
7	30	53
7	31	54
7	32	55
7	33	54
7	34	56
7	35	55
7	36	55
7	37	58
7	38	55
7	39	54
7	40	55
8	1	164
8	2	55
8	3	55
8	4	56
8	5	59
8	6	53
8	7	54
8	8	57
8	9	53
8	10	53
8	11	53
8	12	53
8	13	53
8	14	53
8	15	53
8	16	57
8	17	53
8	18	53
8	19	54
8	20	54
8	21	53
8	22	54
8	23	53
8	24	57
8	25	53
8	26	53
8	27	53
8	28	53
8	29	53
8	30	54
8	31	53
8	32	57
8	33	53
8	34	54
8	35	53
8	36	53
8	37	53
8	38	53
8	39	53
8	40	57
9	1	153
9	2	55
9	3	119
9	4	55
9	5	55
9	6	54
9	7	54
9	8	57
9	9	53
9	10	53
9	11	55
9	12	55
9	13	53
9	14	53
9	15	57
9	16	54
9	17	54
9	18	53
9	19	53
9	20	55
9	21	54
9	22	58
9	23	54
9	24	55
9	25	54
9	26	53
9	27	54
9	28	54
9	29	57
9	30	54
9	31	53
9	32	53
9	33	55
9	34	55
9	35	54
9	36	58
9	37	54
9	38	54
9	39	55
9	40	56
10	1	159
10	2	56
10	3	55
10	4	55
10	5	55
10	6	54
10	7	57
10	8	55
10	9	53
10	10	54
10	11	53
10	12	55
10	13	59
10	14	54
10	15	53
10	16	55
10	17	56
10	18	54
10	19	63
10	20	58
10	21	54
10	22	54
10	23	55
10	24	54
10	25	54
10	26	58
10	27	53
10	28	53
10	29	54
10	30	54
10	31	53
10	32	57
10	33	53
10	34	53
10	35	54
10	36	54
10	37	53
10	38	54
10	39	57
10	40	53
11	1	177
11	2	55
11	3	55
11	4	56
11	5	55
11	6	57
11	7	54
11	8	54
11	9	53
11	10	53
11	11	53
11	12	56
11	13	53
11	14	53
11	15	54
11	16	53
11	17	54
11	18	57
11	19	54
11	20	54
11	21	56
11	22	53
11	23	54
11	24	57
11	25	53
11	26	54
11	27	54
11	28	54
11	29	53
11	30	58
11	31	54
11	32	55
11	33	54
11	34	55
11	35	57
11	36	54
11	37	53
11	38	53
11	39	54
11	40	54
12	1	176
12	2	162
12	3	55
12	4	55
12	5	55
12	6	59
12	7	54
12	8	53
12	9	54
12	10	54
12	11	57
12	12	54
12	13	53
12	14	53
12	15	54
12	16	57
12	17	54
12	18	53
12	19	53
12	20	53
12	21	53
12	22	57
12	23	53
12	24	53
12	25	53
12	26	53
12	27	57
12	28	53
12	29	53
12	30	53
12	31	53
12	32	57
12	33	53
12	34	53
12	35	53
12	36	53
12	37	53
12	38	57
12	39	53
12	40	53
13	1	169
13	2	104
13	3	55
13	4	55
13	5	61
13	6	55
13	7	54
13	8	55
13	9	53
13	10	59
13	11	54
13	12	55
13	13	54
13	14	53
13	15	58
13	16	54
13	17	55
13	18	54
13	19	53
13	20	56
13	21	54
13	22	56
13	23	55
13	24	55
13	25	57
13	26	53
13	27	54
13	28	54
13	29	54
13	30	57
13	31	53
13	32	57
13	33	54
13	34	53
13	35	58
13	36	54
13	37	54
13	38	54
13	39	54
13	40	58
14	1	178
14	2	55
14	3	55
14	4	55
14	5	59
14	6	53
14	7	53
14	8	53
14	9	54
14	10	57
14	11	56
14	12	53
14	13	54
14	14	58
14	15	54
14	16	53
14	17	54
14	18	55
14	19	58
14	20	54
14	21	53
14	22	54
14	23	57
14	24	54
14	25	53
14	26	54
14	27	54
14	28	57
14	29	53
14	30	53
14	31	53
14	32	57
14	33	53
14	34	53
14	35	53
14	36	54
14	37	57
14	38	53
14	39	53
14	40	53
15	1	168
15	2	163
15	3	56
15	4	55
15	5	58
15	6	53
15	7	53
15	8	54
15	9	57
15	10	55
15	11	53
15	12	55
15	13	58
15	14	53
15	15	54
15	16	54
15	17	53
15	18	57
15	19	53
15	20	54
15	21	54
15	22	58
15	23	54
15	24	53
15	25	54
15	26	58
15	27	54
15	28	54
15	29	54
15	30	57
15	31	54
15	32	57
15	33	54
15	34	54
15	35	57
15	36	55
15	37	55
15	38	54
15	39	59
15	40	55
16	1	147
16	2	55
16	3	56
16	4	59
16	5	56
16	6	53
16	7	53
16	8	57
16	9	53
16	10	54
16	11	53
16	12	56
16	13	53
16	14	53
16	15	53
16	16	57
16	17	54
16	18	53
16	19	53
16	20	57
16	21	53
16	22	53
16	23	53
16	24	57
16	25	53
16	26	53
16	27	54
16	28	57
16	29	53
16	30	53
16	31	54
16	32	57
16	33	55
16	34	53
16	35	53
16	36	57
16	37	54
16	38	53
16	39	54
16	40	57
17	1	165
17	2	55
17	3	55
17	4	59
17	5	69
17	6	54
17	7	55
17	8	57
17	9	54
17	10	53
17	11	53
17	12	58
17	13	55
17	14	54
17	15	54
17	16	59
17	17	54
17	18	54
17	19	58
17	20	55
17	21	53
17	22	55
17	23	57
17	24	55
17	25	53
17	26	53
17	27	57
17	28	54
17	29	55
17	30	54
17	31	57
17	32	54
17	33	54
17	34	57
17	35	55
17	36	54
17	37	54
17	38	59
17	39	54
17	40	54
18	1	168
18	2	55
18	3	55
18	4	59
18	5	55
18	6	54
18	7	53
18	8	58
18	9	54
18	10	53
18	11	56
18	12	53
18	13	54
18	14	54
18	15	58
18	16	54
18	17	54
18	18	57
18	19	55
18	20	54
18	21	54
18	22	58
18	23	54
18	24	53
18	25	57
18	26	54
18	27	53
18	28	54
18	29	57
18	30	54
18	31	53
18	32	59
18	33	53
18	34	53
18	35	54
18	36	57
18	37	53
18	38	53
18	39	53
18	40	57
19	1	174
19	2	55
19	3	55
19	4	59
19	5	58
19	6	53
19	7	57
19	8	54
19	9	54
19	10	61
19	11	57
19	12	54
19	13	54
19	14	57
19	15	53
19	16	54
19	17	57
19	18	54
19	19	54
19	20	53
19	21	58
19	22	53
19	23	54
19	24	58
19	25	53
19	26	54
19	27	57
19	28	56
19	29	54
19	30	54
19	31	58
19	32	54
19	33	54
19	34	57
19	35	54
19	36	55
19	37	54
19	38	59
19	39	54
19	40	54
20	1	172
20	2	55
20	3	55
20	4	73
20	5	56
20	6	53
20	7	58
20	8	54
20	9	54
20	10	61
20	11	53
20	12	53
20	13	57
20	14	53
20	15	53
20	16	57
20	17	54
20	18	54
20	19	53
20	20	57
20	21	53
20	22	53
20	23	57
20	24	53
20	25	53
20	26	57
20	27	53
20	28	54
20	29	57
20	30	53
20	31	53
20	32	57
20	33	53
20	34	53
20	35	54
20	36	57
20	37	53
20	38	53
20	39	57
20	40	53
21	1	173
21	2	55
21	3	55
21	4	59
21	5	55
21	6	54
21	7	58
21	8	54
21	9	53
21	10	58
21	11	53
21	12	54
21	13	58
21	14	54
21	15	54
21	16	57
21	17	54
21	18	54
21	19	58
21	20	54
21	21	54
21	22	57
21	23	54
21	24	53
21	25	58
21	26	54
21	27	54
21	28	58
21	29	54
21	30	54
21	31	58
21	32	54
21	33	54
21	34	59
21	35	54
21	36	54
21	37	57
21	38	54
21	39	54
21	40	59
22	1	169
22	2	55
22	3	59
22	4	55
22	5	55
22	6	58
22	7	54
22	8	53
22	9	59
22	10	53
22	11	53
22	12	57
22	13	53
22	14	53
22	15	58
22	16	54
22	17	55
22	18	58
22	19	54
22	20	54
22	21	58
22	22	54
22	23	53
22	24	58
22	25	54
22	26	53
22	27	57
22	28	54
22	29	53
22	30	57
22	31	53
22	32	57
22	33	53
22	34	53
22	35	58
22	36	53
22	37	53
22	38	57
22	39	53
22	40	53
23	1	157
23	2	55
23	3	59
23	4	56
23	5	57
23	6	57
23	7	54
23	8	54
23	9	57
23	10	53
23	11	55
23	12	57
23	13	54
23	14	57
23	15	54
23	16	53
23	17	58
23	18	53
23	19	54
23	20	57
23	21	55
23	22	54
23	23	57
23	24	53
23	25	55
23	26	57
23	27	54
23	28	59
23	29	55
23	30	54
23	31	59
23	32	54
23	33	54
23	34	59
23	35	54
23	36	55
23	37	58
23	38	53
23	39	59
23	40	55
24	1	167
24	2	55
24	3	59
24	4	55
24	5	55
24	6	57
24	7	53
24	8	57
24	9	53
24	10	53
24	11	57
24	12	53
24	13	53
24	14	57
24	15	53
24	16	57
24	17	63
24	18	53
24	19	57
24	20	53
24	21	53
24	22	57
24	23	53
24	24	57
24	25	53
24	26	53
24	27	58
24	28	53
24	29	54
24	30	57
24	31	54
24	32	57
24	33	53
24	34	53
24	35	57
24	36	53
24	37	54
24	38	57
24	39	53
24	40	57
25	1	170
25	2	55
25	3	59
25	4	55
25	5	56
25	6	57
25	7	54
25	8	58
25	9	53
25	10	53
25	11	58
25	12	54
25	13	59
25	14	55
25	15	53
25	16	56
25	17	53
25	18	57
25	19	53
25	20	53
25	21	59
25	22	54
25	23	53
25	24	57
25	25	53
25	26	58
25	27	54
25	28	54
25	29	58
25	30	53
25	31	59
25	32	53
25	33	54
25	34	57
25	35	54
25	36	59
25	37	54
25	38	55
25	39	58
25	40	54
26	1	165
26	2	55
26	3	58
26	4	55
26	5	59
26	6	53
26	7	54
26	8	57
26	9	53
26	10	57
26	11	54
26	12	53
26	13	58
26	14	54
26	15	58
26	16	54
26	17	54
26	18	59
26	19	53
26	20	57
26	21	54
26	22	54
26	23	58
26	24	54
26	25	59
26	26	53
26	27	54
26	28	57
26	29	53
26	30	57
26	31	53
26	32	58
26	33	53
26	34	53
26	35	57
26	36	53
26	37	57
26	38	54
26	39	53
26	40	57
27	1	169
27	2	55
27	3	59
27	4	55
27	5	59
27	6	54
27	7	56
27	8	57
27	9	53
27	10	57
27	11	54
27	12	57
27	13	53
27	14	54
27	15	57
27	16	54
27	17	57
27	18	54
27	19	59
27	20	54
27	21	53
27	22	57
27	23	54
27	24	59
27	25	55
27	26	55
27	27	57
27	28	56
27	29	57
27	30	53
27	31	56
27	32	54
27	33	54
27	34	57
27	35	54
27	36	58
27	37	54
27	38	59
27	39	55
27	40	55
28	1	173
28	2	56
28	3	59
28	4	56
28	5	60
28	6	53
28	7	57
28	8	54
28	9	54
28	10	58
28	11	53
28	12	57
28	13	53
28	14	58
28	15	53
28	16	58
28	17	53
28	18	54
28	19	57
28	20	53
28	21	57
28	22	53
28	23	57
28	24	53
28	25	53
28	26	57
28	27	54
28	28	57
28	29	54
28	30	57
28	31	54
28	32	57
28	33	53
28	34	54
28	35	57
28	36	54
28	37	57
28	38	54
28	39	57
28	40	53
29	1	175
29	2	55
29	3	60
29	4	55
29	5	59
29	6	54
29	7	57
29	8	54
29	9	60
29	10	57
29	11	55
29	12	59
29	13	54
29	14	57
29	15	54
29	16	57
29	17	54
29	18	57
29	19	54
29	20	58
29	21	54
29	22	53
29	23	57
29	24	54
29	25	58
29	26	54
29	27	57
29	28	55
29	29	57
29	30	54
29	31	58
29	32	53
29	33	55
29	34	58
29	35	55
