mode	position	offset_bytes	role	avg_cycles	probes
sw	2	128	cache_miss	235	20
sw	3	192	cache_miss	204	20
sw	4	256	cache_miss	261	20
sw	5	320	cache_miss	298	20
sw	6	384	cache_miss	276	20
sw	7	448	cache_miss	261	20
sw	8	512	cache_miss	249	20
sw	9	576	cache_miss	249	20
sw	10	640	cache_miss	255	20
sw	11	704	cache_miss	245	20
sw	12	768	cache_miss	260	20
sw	13	832	cache_miss	260	20
sw	14	896	cache_miss	265	20
sw	15	960	cache_miss	262	20
sw	16	1024	cache_miss	268	20
sw	17	1088	cache_miss	262	20
sw	18	1152	cache_miss	259	20
sw	19	1216	cache_miss	259	20
sw	20	1280	cache_miss	297	20
sw	21	1344	cache_miss	470	20
sw	22	1408	cache_miss	346	20
sw	23	1472	cache_miss	307	20
sw	24	1536	cache_miss	259	20
sw	25	1600	cache_miss	266	20
sw	26	1664	cache_miss	258	20
sw	27	1728	cache_miss	236	20
sw	28	1792	prefetched	76	20
sw	29	1856	prefetched	29	20
sw	30	1920	accessed	30	20
sw	31	1984	cache_miss	264	20
sw	32	2048	cache_miss	259	20
sw	33	2112	cache_miss	255	20
sw	34	2176	cache_miss	256	20
sw	35	2240	cache_miss	311	20
sw	36	2304	cache_miss	349	20
sw	37	2368	cache_miss	355	20
sw	38	2432	cache_miss	254	20
sw	39	2496	cache_miss	380	20
sw	40	2560	cache_miss	246	20
sw	41	2624	cache_miss	265	20
sw	42	2688	cache_miss	231	20
sw	43	2752	cache_miss	260	20
sw	44	2816	cache_miss	276	20
sw	45	2880	cache_miss	259	20
sw	46	2944	cache_miss	276	20
sw	47	3008	cache_miss	262	20
sw	48	3072	cache_miss	232	20
sw	49	3136	cache_miss	231	20
sw	50	3200	prefetched	41	20
sw	51	3264	prefetched	72	20
sw	52	3328	prefetched	52	20
sw	53	3392	prefetched	63	20
sw	54	3456	prefetched	29	20
sw	55	3520	prefetched	30	20
sw	56	3584	prefetched	29	20
sw	57	3648	prefetched	29	20
sw	58	3712	prefetched	29	20
sw	59	3776	prefetched	29	20
sw	60	3840	accessed	29	20
sw	61	3904	cache_miss	211	20
sw	62	3968	prefetched	41	20
sw	63	4032	prefetched	41	20
sw	64	4096	prefetched	75	20
sw	65	4160	cache_miss	240	20
sw	66	4224	cache_miss	255	20
sw	67	4288	cache_miss	234	20
sw	68	4352	cache_miss	284	20
sw	69	4416	cache_miss	647	20
sw	70	4480	cache_miss	299	20
sw	71	4544	cache_miss	531	20
sw	72	4608	cache_miss	258	20
sw	73	4672	cache_miss	257	20
sw	74	4736	cache_miss	256	20
sw	75	4800	cache_miss	259	20
sw	76	4864	cache_miss	270	20
sw	77	4928	cache_miss	256	20
sw	78	4992	cache_miss	263	20
sw	79	5056	cache_miss	258	20
sw	80	5120	cache_miss	246	20
sw	81	5184	cache_miss	248	20
sw	82	5248	cache_miss	254	20
sw	83	5312	cache_miss	242	20
sw	84	5376	cache_miss	288	20
sw	85	5440	cache_miss	348	20
sw	86	5504	cache_miss	254	20
sw	87	5568	cache_miss	394	20
sw	88	5632	cache_miss	238	20
sw	89	5696	cache_miss	234	20
sw	90	5760	accessed	30	20
sw	91	5824	prefetched	110	20
sw	92	5888	cache_miss	121	20
sw	93	5952	cache_miss	151	20
sw	94	6016	cache_miss	156	20
sw	95	6080	cache_miss	166	20
sw	96	6144	cache_miss	147	20
sw	97	6208	cache_miss	161	20
sw	98	6272	cache_miss	203	20
sw	99	6336	cache_miss	225	20
sw	100	6400	cache_miss	234	20
sw	101	6464	cache_miss	283	20
sw	102	6528	cache_miss	280	20
sw	103	6592	cache_miss	450	20
sw	104	6656	cache_miss	233	20
sw	105	6720	cache_miss	232	20
sw	106	6784	cache_miss	232	20
sw	107	6848	cache_miss	238	20
sw	108	6912	cache_miss	259	20
sw	109	6976	cache_miss	258	20
sw	110	7040	cache_miss	262	20
sw	111	7104	cache_miss	260	20
sw	112	7168	cache_miss	243	20
sw	113	7232	cache_miss	252	20
sw	114	7296	cache_miss	257	20
sw	115	7360	cache_miss	253	20
sw	116	7424	cache_miss	262	20
sw	117	7488	cache_miss	421	20
sw	118	7552	cache_miss	260	20
sw	119	7616	cache_miss	395	20
sw	120	7680	accessed	29	20
sw	121	7744	prefetched	85	20
sw	122	7808	prefetched	64	20
sw	123	7872	prefetched	63	20
sw	124	7936	prefetched	41	20
sw	125	8000	prefetched	76	20
sw	126	8064	prefetched	41	20
sw	127	8128	prefetched	75	20
sw	128	8192	cache_miss	244	20
sw	129	8256	cache_miss	258	20
sw	130	8320	cache_miss	229	20
sw	131	8384	cache_miss	257	20
sw	132	8448	cache_miss	262	20
sw	133	8512	cache_miss	517	20
sw	134	8576	cache_miss	284	20
