# SMS same-PC same-memory test
# access mode: software prefetch (prfm pldl1keep)
# training lines: 4, 1, 6, 7, 3, 11, 15; trigger line: 4
# expected SMS prefetch lines after trigger: 1, 3, 6, 7, 11, 15

[without_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	    3	   4
 1	expected_prefetch	  117	 187
 2	.                	    0	   0
 3	.                	   55	  88
 4	trigger          	  625	1000
 5	.                	   16	  25
 6	expected_prefetch	   24	  38
 7	.                	    9	  14
 8	.                	    0	   0
 9	.                	    3	   4
10	.                	    2	   3
11	.                	    1	   1
12	.                	    3	   4
13	expected_prefetch	    1	   1
14	.                	    2	   3
15	expected_prefetch	    1	   1
16	.                	    2	   3
17	.                	    0	   0
18	.                	    2	   3
19	expected_prefetch	    0	   0
20	.                	    2	   3
21	.                	    1	   1
22	.                	    1	   1
23	.                	    1	   1
24	.                	    2	   3
25	.                	    1	   1
26	.                	    1	   1
27	expected_prefetch	    3	   4
28	.                	    3	   4
29	.                	    1	   1
30	.                	    1	   1
31	.                	    1	   1
32	.                	    0	   0
33	.                	    2	   3
34	.                	    2	   3
35	.                	    3	   4
36	.                	    1	   1
37	.                	    2	   3
38	.                	    2	   3
39	.                	    2	   3
40	.                	    1	   1
41	.                	    1	   1
42	.                	    1	   1
43	.                	    6	   9
44	.                	    2	   3
45	.                	    0	   0
46	.                	    0	   0
47	.                	    0	   0
48	.                	    2	   3
49	.                	    0	   0
50	.                	    2	   3
51	.                	    1	   1
52	.                	    4	   6
53	.                	    1	   1
54	.                	    2	   3
55	.                	    1	   1
56	.                	    1	   1
57	.                	    4	   6
58	.                	    1	   1
59	.                	    3	   4
60	.                	    0	   0
61	.                	    1	   1
62	.                	    1	   1
63	.                	    2	   3

[with_16_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	    0	   0
 1	expected_prefetch	    4	   6
 2	.                	    0	   0
 3	.                	    1	   1
 4	trigger          	  625	1000
 5	.                	    0	   0
 6	expected_prefetch	    1	   1
 7	.                	    1	   1
 8	.                	    1	   1
 9	.                	    4	   6
10	.                	    0	   0
11	.                	    0	   0
12	.                	    1	   1
13	expected_prefetch	    2	   3
14	.                	    2	   3
15	expected_prefetch	    1	   1
16	.                	    2	   3
17	.                	    0	   0
18	.                	    1	   1
19	expected_prefetch	    1	   1
20	.                	    0	   0
21	.                	    1	   1
22	.                	    1	   1
23	.                	    1	   1
24	.                	    0	   0
25	.                	    1	   1
26	.                	    0	   0
27	expected_prefetch	    0	   0
28	.                	    0	   0
29	.                	    0	   0
30	.                	    1	   1
31	.                	    4	   6
32	.                	    3	   4
33	.                	    1	   1
34	.                	    1	   1
35	.                	    2	   3
36	.                	    0	   0
37	.                	    1	   1
38	.                	    1	   1
39	.                	    0	   0
40	.                	    0	   0
41	.                	    0	   0
42	.                	    1	   1
43	.                	    2	   3
44	.                	    0	   0
45	.                	    1	   1
46	.                	    2	   3
47	.                	    1	   1
48	.                	    1	   1
49	.                	    1	   1
50	.                	    0	   0
51	.                	    1	   1
52	.                	    0	   0
53	.                	    0	   0
54	.                	    0	   0
55	.                	    2	   3
56	.                	    0	   0
57	.                	    1	   1
58	.                	    1	   1
59	.                	    1	   1
60	.                	    0	   0
61	.                	    0	   0
62	.                	    1	   1
63	.                	    0	   0
