# SMS same-PC same-memory test
# access mode: load (ldrb)
# training lines: 4, 1, 6, 7, 3, 11, 15; trigger line: 4
# expected SMS prefetch lines after trigger: 1, 3, 6, 7, 11, 15

[without_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	  218	 348
 1	expected_prefetch	  555	 888
 2	.                	  514	 822
 3	.                	   14	  22
 4	trigger          	  625	1000
 5	.                	    3	   4
 6	expected_prefetch	  611	 977
 7	.                	  327	 523
 8	.                	  421	 673
 9	.                	  282	 451
10	.                	  293	 468
11	.                	  322	 515
12	.                	  377	 603
13	expected_prefetch	  506	 809
14	.                	    4	   6
15	expected_prefetch	  416	 665
16	.                	  436	 697
17	.                	   71	 113
18	.                	  515	 824
19	expected_prefetch	  596	 953
20	.                	    6	   9
21	.                	    5	   8
22	.                	  273	 436
23	.                	    4	   6
24	.                	    5	   8
25	.                	  445	 712
26	.                	    4	   6
27	expected_prefetch	  500	 800
28	.                	    7	  11
29	.                	    7	  11
30	.                	  198	 316
31	.                	    8	  12
32	.                	    1	   1
33	.                	    1	   1
34	.                	    1	   1
35	.                	    1	   1
36	.                	   18	  28
37	.                	    1	   1
38	.                	    1	   1
39	.                	    1	   1
40	.                	    1	   1
41	.                	    0	   0
42	.                	    2	   3
43	.                	    1	   1
44	.                	    2	   3
45	.                	    4	   6
46	.                	    1	   1
47	.                	    2	   3
48	.                	    0	   0
49	.                	    2	   3
50	.                	    1	   1
51	.                	    4	   6
52	.                	    2	   3
53	.                	    1	   1
54	.                	    0	   0
55	.                	    1	   1
56	.                	    0	   0
57	.                	    1	   1
58	.                	    0	   0
59	.                	    1	   1
60	.                	   15	  24
61	.                	    1	   1
62	.                	    1	   1
63	.                	    0	   0

[with_16_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	  109	 174
 1	expected_prefetch	  403	 644
 2	.                	    3	   4
 3	.                	    0	   0
 4	trigger          	  625	1000
 5	.                	    0	   0
 6	expected_prefetch	  546	 873
 7	.                	   27	  43
 8	.                	   19	  30
 9	.                	   10	  16
10	.                	   19	  30
11	.                	  117	 187
12	.                	  124	 198
13	expected_prefetch	  523	 836
14	.                	    1	   1
15	expected_prefetch	  419	 670
16	.                	   59	  94
17	.                	    2	   3
18	.                	  358	 572
19	expected_prefetch	  410	 656
20	.                	    3	   4
21	.                	    2	   3
22	.                	    4	   6
23	.                	    2	   3
24	.                	    2	   3
25	.                	  168	 268
26	.                	    1	   1
27	expected_prefetch	  440	 704
28	.                	    3	   4
29	.                	    0	   0
30	.                	    7	  11
31	.                	    0	   0
32	.                	    1	   1
33	.                	    0	   0
34	.                	    3	   4
35	.                	    0	   0
36	.                	    1	   1
37	.                	    0	   0
38	.                	    0	   0
39	.                	    1	   1
40	.                	    1	   1
41	.                	    0	   0
42	.                	    1	   1
43	.                	    3	   4
44	.                	    1	   1
45	.                	    0	   0
46	.                	    1	   1
47	.                	    0	   0
48	.                	    1	   1
49	.                	    0	   0
50	.                	    1	   1
51	.                	    1	   1
52	.                	    0	   0
53	.                	    0	   0
54	.                	    1	   1
55	.                	    0	   0
56	.                	    0	   0
57	.                	    1	   1
58	.                	    2	   3
59	.                	    0	   0
60	.                	    0	   0
61	.                	    2	   3
62	.                	    1	   1
63	.                	    0	   0
