# SMS same-PC same-memory test
# access mode: load (ldrb)
# training lines: 4, 1, 6, 7, 3, 11, 15; trigger line: 4
# expected SMS prefetch lines after trigger: 1, 3, 6, 7, 11, 15

[without_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	  390	 624
 1	expected_prefetch	  355	 568
 2	.                	  270	 432
 3	.                	  378	 604
 4	trigger          	  625	1000
 5	.                	  392	 627
 6	expected_prefetch	  290	 464
 7	.                	  352	 563
 8	.                	  418	 668
 9	.                	  377	 603
10	.                	  351	 561
11	.                	  280	 448
12	.                	  371	 593
13	expected_prefetch	  356	 569
14	.                	  356	 569
15	expected_prefetch	  252	 403
16	.                	  441	 705
17	.                	  390	 624
18	.                	  456	 729
19	expected_prefetch	  325	 520
20	.                	  382	 611
21	.                	  394	 630
22	.                	  382	 611
23	.                	  287	 459
24	.                	  437	 699
25	.                	  475	 760
26	.                	  260	 416
27	expected_prefetch	  383	 612
28	.                	  396	 633
29	.                	  428	 684
30	.                	  333	 532
31	.                	  364	 582
32	.                	  240	 384
33	.                	  361	 577
34	.                	  390	 624
35	.                	  368	 588
36	.                	  213	 340
37	.                	  301	 481
38	.                	  404	 646
39	.                	  371	 593
40	.                	  324	 518
41	.                	  242	 387
42	.                	  418	 668
43	.                	  418	 668
44	.                	  250	 400
45	.                	  201	 321
46	.                	  424	 678
47	.                	  425	 680
48	.                	  403	 644
49	.                	  277	 443
50	.                	  423	 676
51	.                	  430	 688
52	.                	  342	 547
53	.                	  279	 446
54	.                	  437	 699
55	.                	  398	 636
56	.                	  223	 356
57	.                	  356	 569
58	.                	  378	 604
59	.                	  438	 700
60	.                	  220	 352
61	.                	  303	 484
62	.                	  406	 649
63	.                	  415	 664

[with_16_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	  387	 619
 1	expected_prefetch	  357	 571
 2	.                	  255	 408
 3	.                	  327	 523
 4	trigger          	  625	1000
 5	.                	  401	 641
 6	expected_prefetch	  309	 494
 7	.                	  361	 577
 8	.                	  377	 603
 9	.                	  358	 572
10	.                	  342	 547
11	.                	  281	 449
12	.                	  346	 553
13	expected_prefetch	  366	 585
14	.                	  297	 475
15	expected_prefetch	  279	 446
16	.                	  429	 686
17	.                	  421	 673
18	.                	  377	 603
19	expected_prefetch	  332	 531
20	.                	  407	 651
21	.                	  406	 649
22	.                	  342	 547
23	.                	  288	 460
24	.                	  433	 692
25	.                	  427	 683
26	.                	  270	 432
27	expected_prefetch	  376	 601
28	.                	  418	 668
29	.                	  438	 700
30	.                	  299	 478
31	.                	  410	 656
32	.                	  252	 403
33	.                	  367	 587
34	.                	  398	 636
35	.                	  343	 548
36	.                	  228	 364
37	.                	  355	 568
38	.                	  390	 624
39	.                	  368	 588
40	.                	  336	 537
41	.                	  266	 425
42	.                	  393	 628
43	.                	  390	 624
44	.                	  309	 494
45	.                	  240	 384
46	.                	  389	 622
47	.                	  383	 612
48	.                	  404	 646
49	.                	  295	 472
50	.                	  394	 630
51	.                	  420	 672
52	.                	  389	 622
53	.                	  289	 462
54	.                	  437	 699
55	.                	  403	 644
56	.                	  265	 424
57	.                	  375	 600
58	.                	  377	 603
59	.                	  430	 688
60	.                	  280	 448
61	.                	  393	 628
62	.                	  383	 612
63	.                	  418	 668
