# SMS same-PC same-memory test
# access mode: software prefetch (prfm pldl1keep)
# training lines: 4, 1, 6, 7, 3, 11, 15; trigger line: 4
# expected SMS prefetch lines after trigger: 1, 3, 6, 7, 11, 15

[without_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	  291	 465
 1	expected_prefetch	  390	 624
 2	.                	  409	 654
 3	.                	  384	 614
 4	trigger          	  625	1000
 5	.                	  424	 678
 6	expected_prefetch	  423	 676
 7	.                	  427	 683
 8	.                	  427	 683
 9	.                	  244	 390
10	.                	  387	 619
11	.                	  391	 625
12	.                	  385	 616
13	expected_prefetch	  287	 459
14	.                	  390	 624
15	expected_prefetch	  404	 646
16	.                	  353	 564
17	.                	  245	 392
18	.                	  370	 592
19	expected_prefetch	  320	 512
20	.                	  343	 548
21	.                	  260	 416
22	.                	  370	 592
23	.                	  335	 536
24	.                	  243	 388
25	.                	  291	 465
26	.                	  325	 520
27	expected_prefetch	  325	 520
28	.                	  223	 356
29	.                	  353	 564
30	.                	  348	 556
31	.                	  357	 571
32	.                	  401	 641
33	.                	  377	 603
34	.                	  264	 422
35	.                	  415	 664
36	.                	  387	 619
37	.                	  414	 662
38	.                	  284	 454
39	.                	  434	 694
40	.                	  368	 588
41	.                	  398	 636
42	.                	  399	 638
43	.                	  235	 376
44	.                	  381	 609
45	.                	  396	 633
46	.                	  412	 659
47	.                	  175	 280
48	.                	  333	 532
49	.                	  356	 569
50	.                	  304	 486
51	.                	  161	 257
52	.                	  309	 494
53	.                	  354	 566
54	.                	  324	 518
55	.                	  165	 264
56	.                	  324	 518
57	.                	  361	 577
58	.                	  150	 240
59	.                	  317	 507
60	.                	  326	 521
61	.                	  314	 502
62	.                	  166	 265
63	.                	  316	 505

[with_16_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	  381	 609
 1	expected_prefetch	  481	 769
 2	.                	  478	 764
 3	.                	  471	 753
 4	trigger          	  625	1000
 5	.                	  515	 824
 6	expected_prefetch	  494	 790
 7	.                	  508	 812
 8	.                	  503	 804
 9	.                	  368	 588
10	.                	  475	 760
11	.                	  476	 761
12	.                	  490	 784
13	expected_prefetch	  373	 596
14	.                	  446	 713
15	expected_prefetch	  472	 755
16	.                	  465	 744
17	.                	  309	 494
18	.                	  440	 704
19	expected_prefetch	  415	 664
20	.                	  400	 640
21	.                	  348	 556
22	.                	  436	 697
23	.                	  392	 627
24	.                	  316	 505
25	.                	  412	 659
26	.                	  417	 667
27	expected_prefetch	  402	 643
28	.                	  323	 516
29	.                	  458	 732
30	.                	  429	 686
31	.                	  430	 688
32	.                	  491	 785
33	.                	  487	 779
34	.                	  347	 555
35	.                	  516	 825
36	.                	  482	 771
37	.                	  490	 784
38	.                	  327	 523
39	.                	  509	 814
40	.                	  450	 720
41	.                	  450	 720
42	.                	  501	 801
43	.                	  357	 571
44	.                	  458	 732
45	.                	  489	 782
46	.                	  468	 748
47	.                	  369	 590
48	.                	  430	 688
49	.                	  452	 723
50	.                	  393	 628
51	.                	  269	 430
52	.                	  388	 620
53	.                	  412	 659
54	.                	  421	 673
55	.                	  311	 497
56	.                	  408	 652
57	.                	  424	 678
58	.                	  260	 416
59	.                	  400	 640
60	.                	  441	 705
61	.                	  377	 603
62	.                	  347	 555
63	.                	  400	 640
