# store-stride PA xor-index contribution test
# buddy_pages=2097152 buddy_bytes=8589934592 stride_lines=5 accesses=5 train_only_accesses=4 rounds=40000 probe_positions=64
# pair condition: PA1 ^ PA2 == mask, with identical page offset
# single-bit controls cover MIN_DIFF_BIT..MAX_DIFF_BIT; pairwise xor masks cover MIN_DIFF_BIT..33
# targeted checks: triple groups should miss; pairpair cross-group masks should hit for the candidate xor hash
# trainer: PA1 + [0..3]*5*LINE_SIZE, trigger: PA2 + 20*LINE_SIZE, final: PA2 + 25*LINE_SIZE
case	latency_ns
# probe_detail	same_pa_no_trigger	37	2368	163	625
# probe_detail	same_pa_no_trigger	38	2432	161	625
# probe_detail	same_pa_no_trigger	39	2496	162	625
# probe_detail	same_pa_no_trigger	40	2560	160	625
# probe_detail	same_pa_no_trigger	41	2624	163	625
# probe_detail	same_pa_no_trigger	42	2688	160	625
# probe_detail	same_pa_no_trigger	43	2752	159	625
# probe_detail	same_pa_no_trigger	44	2816	161	625
# probe_detail	same_pa_no_trigger	45	2880	162	625
# probe_detail	same_pa_no_trigger	46	2944	159	625
# probe_detail	same_pa_no_trigger	47	3008	160	625
# probe_detail	same_pa_no_trigger	48	3072	162	625
# probe_detail	same_pa_no_trigger	49	3136	165	625
# probe_detail	same_pa_no_trigger	50	3200	162	625
# probe_detail	same_pa_no_trigger	51	3264	162	625
# probe_detail	same_pa_no_trigger	52	3328	163	625
# probe_detail	same_pa_no_trigger	53	3392	167	625
# probe_detail	same_pa_no_trigger	54	3456	165	625
# probe_detail	same_pa_no_trigger	55	3520	162	625
# probe_detail	same_pa_no_trigger	56	3584	167	625
# probe_detail	same_pa_no_trigger	57	3648	167	625
# probe_detail	same_pa_no_trigger	58	3712	163	625
# probe_detail	same_pa_no_trigger	59	3776	163	625
# probe_detail	same_pa_no_trigger	60	3840	165	625
# probe_detail	same_pa_no_trigger	61	3904	163	625
# probe_detail	same_pa_no_trigger	62	3968	162	625
# probe_detail	same_pa_no_trigger	63	4032	162	625
same_pa_no_trigger	161
# probe_detail	same_pa_no_trainer	0	0	120	625
# probe_detail	same_pa_no_trainer	1	64	166	625
# probe_detail	same_pa_no_trainer	2	128	171	625
# probe_detail	same_pa_no_trainer	3	192	166	625
# probe_detail	same_pa_no_trainer	4	256	165	625
# probe_detail	same_pa_no_trainer	5	320	119	625
# probe_detail	same_pa_no_trainer	6	384	169	625
# probe_detail	same_pa_no_trainer	7	448	173	625
# probe_detail	same_pa_no_trainer	8	512	167	625
# probe_detail	same_pa_no_trainer	9	576	166	625
# probe_detail	same_pa_no_trainer	10	640	120	625
# probe_detail	same_pa_no_trainer	11	704	170	625
# probe_detail	same_pa_no_trainer	12	768	166	625
# probe_detail	same_pa_no_trainer	13	832	166	625
# probe_detail	same_pa_no_trainer	14	896	167	625
# probe_detail	same_pa_no_trainer	15	960	123	625
# probe_detail	same_pa_no_trainer	16	1024	159	625
# probe_detail	same_pa_no_trainer	17	1088	159	625
# probe_detail	same_pa_no_trainer	18	1152	160	625
# probe_detail	same_pa_no_trainer	19	1216	163	625
# probe_detail	same_pa_no_trainer	20	1280	31	625
# probe_detail	same_pa_no_trainer	21	1344	159	625
# probe_detail	same_pa_no_trainer	22	1408	161	625
# probe_detail	same_pa_no_trainer	23	1472	166	625
# probe_detail	same_pa_no_trainer	24	1536	164	625
# probe_detail	same_pa_no_trainer	25	1600	163	625
# probe_detail	same_pa_no_trainer	26	1664	167	625
# probe_detail	same_pa_no_trainer	27	1728	164	625
# probe_detail	same_pa_no_trainer	28	1792	163	625
# probe_detail	same_pa_no_trainer	29	1856	168	625
# probe_detail	same_pa_no_trainer	30	1920	170	625
# probe_detail	same_pa_no_trainer	31	1984	164	625
# probe_detail	same_pa_no_trainer	32	2048	171	625
# probe_detail	same_pa_no_trainer	33	2112	170	625
# probe_detail	same_pa_no_trainer	34	2176	166	625
# probe_detail	same_pa_no_trainer	35	2240	167	625
# probe_detail	same_pa_no_trainer	36	2304	170	625
# probe_detail	same_pa_no_trainer	37	2368	166	625
# probe_detail	same_pa_no_trainer	38	2432	167	625
# probe_detail	same_pa_no_trainer	39	2496	169	625
# probe_detail	same_pa_no_trainer	40	2560	166	625
# probe_detail	same_pa_no_trainer	41	2624	169	625
# probe_detail	same_pa_no_trainer	42	2688	166	625
# probe_detail	same_pa_no_trainer	43	2752	166	625
# probe_detail	same_pa_no_trainer	44	2816	168	625
# probe_detail	same_pa_no_trainer	45	2880	170	625
# probe_detail	same_pa_no_trainer	46	2944	170	625
# probe_detail	same_pa_no_trainer	47	3008	166	625
# probe_detail	same_pa_no_trainer	48	3072	167	625
# probe_detail	same_pa_no_trainer	49	3136	167	625
# probe_detail	same_pa_no_trainer	50	3200	163	625
# probe_detail	same_pa_no_trainer	51	3264	165	625
# probe_detail	same_pa_no_trainer	52	3328	164	625
# probe_detail	same_pa_no_trainer	53	3392	170	625
# probe_detail	same_pa_no_trainer	54	3456	163	625
# probe_detail	same_pa_no_trainer	55	3520	164	625
# probe_detail	same_pa_no_trainer	56	3584	166	625
# probe_detail	same_pa_no_trainer	57	3648	159	625
# probe_detail	same_pa_no_trainer	58	3712	159	625
# probe_detail	same_pa_no_trainer	59	3776	158	625
# probe_detail	same_pa_no_trainer	60	3840	165	625
# probe_detail	same_pa_no_trainer	61	3904	160	625
# probe_detail	same_pa_no_trainer	62	3968	159	625
# probe_detail	same_pa_no_trainer	63	4032	161	625
same_pa_no_trainer	163
# pair_detail	bit_12_full	va1=0x0000e1ed73dcf000	pa1=0x0000000149bb8000	va2=0x0000e1ed73dd0000	pa2=0x0000000149bb9000	mask=0x0000000000001000	pa_xor=0x0000000000001000
# probe_detail	bit_12_full	0	0	161	625
# probe_detail	bit_12_full	1	64	161	625
# probe_detail	bit_12_full	2	128	164	625
# probe_detail	bit_12_full	3	192	164	625
# probe_detail	bit_12_full	4	256	164	625
# probe_detail	bit_12_full	5	320	160	625
# probe_detail	bit_12_full	6	384	164	625
# probe_detail	bit_12_full	7	448	161	625
# probe_detail	bit_12_full	8	512	160	625
# probe_detail	bit_12_full	9	576	160	625
# probe_detail	bit_12_full	10	640	161	625
# probe_detail	bit_12_full	11	704	163	625
# probe_detail	bit_12_full	12	768	160	625
# probe_detail	bit_12_full	13	832	159	625
# probe_detail	bit_12_full	14	896	159	625
# probe_detail	bit_12_full	15	960	164	625
# probe_detail	bit_12_full	16	1024	152	625
# probe_detail	bit_12_full	17	1088	152	625
# probe_detail	bit_12_full	18	1152	152	625
# probe_detail	bit_12_full	19	1216	156	625
# probe_detail	bit_12_full	20	1280	31	625
# probe_detail	bit_12_full	21	1344	154	625
# probe_detail	bit_12_full	22	1408	152	625
# probe_detail	bit_12_full	23	1472	157	625
# probe_detail	bit_12_full	24	1536	159	625
# probe_detail	bit_12_full	25	1600	158	625
# probe_detail	bit_12_full	26	1664	162	625
# probe_detail	bit_12_full	27	1728	159	625
# probe_detail	bit_12_full	28	1792	158	625
# probe_detail	bit_12_full	29	1856	160	625
# probe_detail	bit_12_full	30	1920	161	625
# probe_detail	bit_12_full	31	1984	162	625
# probe_detail	bit_12_full	32	2048	163	625
# probe_detail	bit_12_full	33	2112	160	625
# probe_detail	bit_12_full	34	2176	160	625
# probe_detail	bit_12_full	35	2240	159	625
# probe_detail	bit_12_full	36	2304	162	625
# probe_detail	bit_12_full	37	2368	160	625
# probe_detail	bit_12_full	38	2432	159	625
# probe_detail	bit_12_full	39	2496	161	625
# probe_detail	bit_12_full	40	2560	161	625
# probe_detail	bit_12_full	41	2624	163	625
# probe_detail	bit_12_full	42	2688	161	625
# probe_detail	bit_12_full	43	2752	161	625
# probe_detail	bit_12_full	44	2816	161	625
# probe_detail	bit_12_full	45	2880	164	625
# probe_detail	bit_12_full	46	2944	162	625
# probe_detail	bit_12_full	47	3008	165	625
# probe_detail	bit_12_full	48	3072	159	625
# probe_detail	bit_12_full	49	3136	162	625
# probe_detail	bit_12_full	50	3200	159	625
# probe_detail	bit_12_full	51	3264	160	625
# probe_detail	bit_12_full	52	3328	158	625
# probe_detail	bit_12_full	53	3392	162	625
# probe_detail	bit_12_full	54	3456	159	625
# probe_detail	bit_12_full	55	3520	160	625
# probe_detail	bit_12_full	56	3584	155	625
# probe_detail	bit_12_full	57	3648	156	625
# probe_detail	bit_12_full	58	3712	153	625
# probe_detail	bit_12_full	59	3776	152	625
# probe_detail	bit_12_full	60	3840	155	625
# probe_detail	bit_12_full	61	3904	152	625
# probe_detail	bit_12_full	62	3968	153	625
# probe_detail	bit_12_full	63	4032	153	625
bit_12_full	158
# pair_detail	bit_13_full	va1=0x0000e1ed73dcf000	pa1=0x0000000149bb8000	va2=0x0000e1ed73dd1000	pa2=0x0000000149bba000	mask=0x0000000000002000	pa_xor=0x0000000000002000
# probe_detail	bit_13_full	0	0	161	625
# probe_detail	bit_13_full	1	64	162	625
# probe_detail	bit_13_full	2	128	165	625
# probe_detail	bit_13_full	3	192	164	625
# probe_detail	bit_13_full	4	256	161	625
# probe_detail	bit_13_full	5	320	161	625
# probe_detail	bit_13_full	6	384	162	625
# probe_detail	bit_13_full	7	448	164	625
# probe_detail	bit_13_full	8	512	162	625
# probe_detail	bit_13_full	9	576	162	625
# probe_detail	bit_13_full	10	640	172	625
# probe_detail	bit_13_full	11	704	162	625
# probe_detail	bit_13_full	12	768	162	625
# probe_detail	bit_13_full	13	832	161	625
# probe_detail	bit_13_full	14	896	166	625
# probe_detail	bit_13_full	15	960	163	625
# probe_detail	bit_13_full	16	1024	156	625
# probe_detail	bit_13_full	17	1088	156	625
# probe_detail	bit_13_full	18	1152	161	625
# probe_detail	bit_13_full	19	1216	159	625
# probe_detail	bit_13_full	20	1280	31	625
# probe_detail	bit_13_full	21	1344	157	625
# probe_detail	bit_13_full	22	1408	163	625
# probe_detail	bit_13_full	23	1472	156	625
# probe_detail	bit_13_full	24	1536	160	625
# probe_detail	bit_13_full	25	1600	160	625
# probe_detail	bit_13_full	26	1664	161	625
# probe_detail	bit_13_full	27	1728	164	625
# probe_detail	bit_13_full	28	1792	165	625
# probe_detail	bit_13_full	29	1856	160	625
# probe_detail	bit_13_full	30	1920	162	625
# probe_detail	bit_13_full	31	1984	164	625
# probe_detail	bit_13_full	32	2048	161	625
# probe_detail	bit_13_full	33	2112	165	625
# probe_detail	bit_13_full	34	2176	161	625
# probe_detail	bit_13_full	35	2240	161	625
# probe_detail	bit_13_full	36	2304	163	625
# probe_detail	bit_13_full	37	2368	165	625
# probe_detail	bit_13_full	38	2432	162	625
# probe_detail	bit_13_full	39	2496	163	625
# probe_detail	bit_13_full	40	2560	165	625
# probe_detail	bit_13_full	41	2624	161	625
# probe_detail	bit_13_full	42	2688	160	625
# probe_detail	bit_13_full	43	2752	161	625
# probe_detail	bit_13_full	44	2816	165	625
# probe_detail	bit_13_full	45	2880	162	625
# probe_detail	bit_13_full	46	2944	162	625
# probe_detail	bit_13_full	47	3008	161	625
