# x86 stride prefetch latency map
# access mode: load
# stride_bytes=320 train_step=15 rounds=4000 probe_positions=256
# position	offset_bytes	avg_cycles	probes
  0	           0	        32	   16
  1	          64	        33	   16
  2	         128	        33	   16
  3	         192	       332	   16
  4	         256	        32	   16
  5	         320	        32	   16
  6	         384	        33	   16
  7	         448	        47	   16
  8	         512	       266	   16
  9	         576	       247	   16
 10	         640	        32	   16
 11	         704	        63	   16
 12	         768	        75	   16
 13	         832	       486	   16
 14	         896	        47	   16
 15	         960	        32	   16
 16	        1024	        32	   16
 17	        1088	        32	   16
 18	        1152	       222	   16
 19	        1216	       309	   16
 20	        1280	        32	   16
 21	        1344	        48	   16
 22	        1408	        72	   16
 23	        1472	       261	   16
 24	        1536	        29	   16
 25	        1600	        28	   16
 26	        1664	        56	   16
 27	        1728	        70	   16
 28	        1792	       301	   16
 29	        1856	       307	   16
 30	        1920	        29	   16
 31	        1984	        29	   16
 32	        2048	        41	   16
 33	        2112	       283	   16
 34	        2176	        29	   16
 35	        2240	        29	   16
 36	        2304	        44	   16
 37	        2368	        29	   16
 38	        2432	       258	   16
 39	        2496	       260	   16
 40	        2560	        29	   16
 41	        2624	        43	   16
 42	        2688	        43	   16
 43	        2752	       247	   16
 44	        2816	        29	   16
 45	        2880	        28	   16
 46	        2944	        29	   16
 47	        3008	        28	   16
 48	        3072	       325	   16
 49	        3136	       405	   16
 50	        3200	        29	   16
 51	        3264	        28	   16
 52	        3328	        29	   16
 53	        3392	       255	   16
 54	        3456	        29	   16
 55	        3520	        28	   16
 56	        3584	        29	   16
 57	        3648	        28	   16
 58	        3712	       236	   16
 59	        3776	       237	   16
 60	        3840	        28	   16
 61	        3904	        29	   16
 62	        3968	        28	   16
 63	        4032	       352	   16
 64	        4096	        70	   16
 65	        4160	        28	   16
 66	        4224	       289	   16
 67	        4288	       246	   16
 68	        4352	       256	   16
 69	        4416	       254	   16
 70	        4480	        28	   16
 71	        4544	        43	   16
 72	        4608	       220	   16
 73	        4672	       230	   16
 74	        4736	        41	   16
 75	        4800	        28	   16
 76	        4864	       263	   16
 77	        4928	       210	   16
 78	        4992	       293	   16
 79	        5056	       450	   16
 80	        5120	       253	   16
 81	        5184	       384	   16
 82	        5248	       261	   16
 83	        5312	       371	   16
 84	        5376	       255	   16
 85	        5440	       259	   16
 86	        5504	       332	   16
 87	        5568	       261	   16
 88	        5632	       254	   16
 89	        5696	       254	   16
 90	        5760	       250	   16
 91	        5824	       254	   16
 92	        5888	       309	   16
 93	        5952	       349	   16
 94	        6016	       290	   16
 95	        6080	       405	   16
 96	        6144	       272	   16
 97	        6208	       304	   16
 98	        6272	       247	   16
 99	        6336	       295	   16
100	        6400	       315	   16
101	        6464	       264	   16
102	        6528	       309	   16
103	        6592	       262	   16
104	        6656	       258	   16
105	        6720	       249	   16
106	        6784	       250	   16
107	        6848	       251	   16
108	        6912	       272	   16
