# x86 stride prefetch latency map
# access mode: software prefetch (prefetcht0)
# stride_bytes=704 train_step=7 rounds=4000 probe_positions=200
# position	offset_bytes	avg_cycles	probes
  0	           0	        91	   20
  1	          64	       382	   20
  2	         128	       385	   20
  3	         192	       397	   20
  4	         256	       360	   20
  5	         320	       378	   20
  6	         384	       388	   20
  7	         448	       409	   20
  8	         512	       386	   20
  9	         576	       373	   20
 10	         640	       385	   20
 11	         704	        87	   20
 12	         768	       369	   20
 13	         832	       364	   20
 14	         896	       412	   20
 15	         960	       384	   20
 16	        1024	       361	   20
 17	        1088	       372	   20
 18	        1152	       372	   20
 19	        1216	       390	   20
 20	        1280	       373	   20
 21	        1344	       366	   20
 22	        1408	        87	   20
 23	        1472	       372	   20
 24	        1536	       349	   20
 25	        1600	       385	   20
 26	        1664	       358	   20
 27	        1728	       382	   20
 28	        1792	       370	   20
 29	        1856	       385	   20
 30	        1920	       396	   20
 31	        1984	       388	   20
 32	        2048	       386	   20
 33	        2112	        82	   20
 34	        2176	       372	   20
 35	        2240	       382	   20
 36	        2304	       397	   20
 37	        2368	       379	   20
 38	        2432	       374	   20
 39	        2496	       402	   20
 40	        2560	       354	   20
 41	        2624	       384	   20
 42	        2688	       368	   20
 43	        2752	       366	   20
 44	        2816	        81	   20
 45	        2880	       394	   20
 46	        2944	       363	   20
 47	        3008	       368	   20
 48	        3072	       358	   20
 49	        3136	       380	   20
 50	        3200	       362	   20
 51	        3264	       398	   20
 52	        3328	       368	   20
 53	        3392	       363	   20
 54	        3456	       358	   20
 55	        3520	        88	   20
 56	        3584	       350	   20
 57	        3648	       357	   20
 58	        3712	       374	   20
 59	        3776	       417	   20
 60	        3840	       394	   20
 61	        3904	       384	   20
 62	        3968	       366	   20
 63	        4032	       421	   20
 64	        4096	       358	   20
 65	        4160	       363	   20
 66	        4224	        79	   20
 67	        4288	       363	   20
 68	        4352	       382	   20
 69	        4416	       358	   20
 70	        4480	       367	   20
 71	        4544	       375	   20
 72	        4608	       363	   20
 73	        4672	       374	   20
 74	        4736	       358	   20
 75	        4800	       357	   20
 76	        4864	       368	   20
 77	        4928	       358	   20
 78	        4992	       366	   20
 79	        5056	       385	   20
 80	        5120	       363	   20
 81	        5184	       378	   20
 82	        5248	       396	   20
 83	        5312	       367	   20
 84	        5376	       373	   20
 85	        5440	       369	   20
 86	        5504	       361	   20
 87	        5568	       373	   20
 88	        5632	       382	   20
 89	        5696	       381	   20
 90	        5760	       354	   20
 91	        5824	       364	   20
 92	        5888	       372	   20
 93	        5952	       369	   20
 94	        6016	       376	   20
 95	        6080	       373	   20
 96	        6144	       360	   20
 97	        6208	       375	   20
 98	        6272	       368	   20
 99	        6336	       360	   20
100	        6400	       362	   20
101	        6464	       367	   20
102	        6528	       362	   20
103	        6592	       380	   20
104	        6656	       348	   20
105	        6720	       361	   20
106	        6784	       368	   20
107	        6848	       385	   20
108	        6912	       379	   20
109	        6976	       364	   20
110	        7040	       362	   20
111	        7104	       382	   20
112	        7168	       390	   20
113	        7232	       368	   20
114	        7296	       393	   20
115	        7360	       357	   20
116	        7424	       370	   20
117	        7488	       378	   20
118	        7552	       388	   20
119	        7616	       370	   20
120	        7680	       386	   20
121	        7744	       358	   20
122	        7808	       357	   20
123	        7872	       362	   20
124	        7936	       422	   20
125	        8000	       396	   20
126	        8064	       357	   20
127	        8128	       370	   20
128	        8192	       344	   20
129	        8256	       394	   20
130	        8320	       386	   20
131	        8384	       374	   20
132	        8448	       349	   20
133	        8512	       351	   20
134	        8576	       363	   20
135	        8640	       370	   20
136	        8704	       334	   20
137	        8768	       355	   20
138	        8832	       356	   20
139	        8896	       376	   20
140	        8960	       354	   20
141	        9024	       366	   20
142	        9088	       346	   20
143	        9152	       373	   20
144	        9216	       384	   20
145	        9280	       336	   20
146	        9344	       380	   20
147	        9408	       357	   20
148	        9472	       348	   20
149	        9536	       376	   20
150	        9600	       366	   20
151	        9664	       392	   20
152	        9728	       387	   20
153	        9792	       338	   20
154	        9856	       348	   20
155	        9920	       360	   20
156	        9984	       343	   20
157	       10048	       361	   20
158	       10112	       363	   20
159	       10176	       350	   20
160	       10240	       349	   20
161	       10304	       336	   20
162	       10368	       348	   20
163	       10432	       362	   20
164	       10496	       358	   20
165	       10560	       355	   20
166	       10624	       364	   20
167	       10688	       374	   20
168	       10752	       375	   20
169	       10816	       357	   20
170	       10880	       382	   20
171	       10944	       357	   20
172	       11008	       352	   20
173	       11072	       342	   20
174	       11136	       382	   20
175	       11200	       366	   20
176	       11264	       334	   20
177	       11328	       348	   20
178	       11392	       343	   20
179	       11456	       343	   20
180	       11520	       369	   20
181	       11584	       364	   20
182	       11648	       368	   20
183	       11712	       404	   20
184	       11776	       360	   20
185	       11840	       351	   20
186	       11904	       372	   20
187	       11968	       351	   20
188	       12032	       376	   20
189	       12096	       379	   20
190	       12160	       381	   20
191	       12224	       348	   20
192	       12288	       375	   20
193	       12352	       382	   20
194	       12416	       364	   20
195	       12480	       420	   20
196	       12544	       369	   20
197	       12608	       376	   20
198	       12672	       385	   20
199	       12736	       415	   20

