# x86 stride prefetch latency map
# access mode: load
# stride_bytes=704 train_step=15 rounds=4000 probe_positions=200
# position	offset_bytes	avg_cycles	probes
  0	           0	        44	   20
  1	          64	       121	   20
  2	         128	       255	   20
  3	         192	       298	   20
  4	         256	       334	   20
  5	         320	       297	   20
  6	         384	       312	   20
  7	         448	       318	   20
  8	         512	       300	   20
  9	         576	       289	   20
 10	         640	       310	   20
 11	         704	        43	   20
 12	         768	       159	   20
 13	         832	       309	   20
 14	         896	       295	   20
 15	         960	       331	   20
 16	        1024	       342	   20
 17	        1088	       306	   20
 18	        1152	       346	   20
 19	        1216	       302	   20
 20	        1280	       310	   20
 21	        1344	       318	   20
 22	        1408	        43	   20
 23	        1472	       288	   20
 24	        1536	       307	   20
 25	        1600	       330	   20
 26	        1664	       301	   20
 27	        1728	       334	   20
 28	        1792	       337	   20
 29	        1856	       301	   20
 30	        1920	       325	   20
 31	        1984	       310	   20
 32	        2048	       312	   20
 33	        2112	        44	   20
 34	        2176	       307	   20
 35	        2240	       296	   20
 36	        2304	       307	   20
 37	        2368	       333	   20
 38	        2432	       320	   20
 39	        2496	       360	   20
 40	        2560	       322	   20
 41	        2624	       332	   20
 42	        2688	       297	   20
 43	        2752	       328	   20
 44	        2816	        43	   20
 45	        2880	       133	   20
 46	        2944	       302	   20
 47	        3008	       328	   20
 48	        3072	       308	   20
 49	        3136	       294	   20
 50	        3200	       296	   20
 51	        3264	       301	   20
 52	        3328	       300	   20
 53	        3392	       352	   20
 54	        3456	       312	   20
 55	        3520	        45	   20
 56	        3584	       145	   20
 57	        3648	       298	   20
 58	        3712	       300	   20
 59	        3776	       300	   20
 60	        3840	       326	   20
 61	        3904	       303	   20
 62	        3968	       295	   20
 63	        4032	       301	   20
 64	        4096	       315	   20
 65	        4160	       292	   20
 66	        4224	        43	   20
 67	        4288	       117	   20
 68	        4352	       314	   20
 69	        4416	       308	   20
 70	        4480	       314	   20
 71	        4544	       338	   20
 72	        4608	       318	   20
 73	        4672	       336	   20
 74	        4736	       301	   20
 75	        4800	       309	   20
 76	        4864	       296	   20
 77	        4928	        43	   20
 78	        4992	       280	   20
 79	        5056	       302	   20
 80	        5120	       340	   20
 81	        5184	       301	   20
 82	        5248	       318	   20
 83	        5312	       336	   20
 84	        5376	       295	   20
 85	        5440	       316	   20
 86	        5504	       320	   20
 87	        5568	       301	   20
 88	        5632	        45	   20
 89	        5696	       292	   20
 90	        5760	       298	   20
 91	        5824	       307	   20
 92	        5888	       325	   20
 93	        5952	       302	   20
 94	        6016	       332	   20
 95	        6080	       300	   20
 96	        6144	       290	   20
 97	        6208	       312	   20
 98	        6272	       314	   20
 99	        6336	        44	   20
100	        6400	       330	   20
101	        6464	       304	   20
102	        6528	       296	   20
103	        6592	       314	   20
104	        6656	       289	   20
105	        6720	       312	   20
106	        6784	       302	   20
107	        6848	       319	   20
108	        6912	       297	   20
109	        6976	       298	   20
110	        7040	        42	   20
111	        7104	       306	   20
112	        7168	       331	   20
113	        7232	       288	   20
114	        7296	       300	   20
115	        7360	       291	   20
116	        7424	       312	   20
117	        7488	       333	   20
118	        7552	       325	   20
119	        7616	       301	   20
120	        7680	       325	   20
121	        7744	        44	   20
122	        7808	       309	   20
123	        7872	       321	   20
124	        7936	       312	   20
125	        8000	       313	   20
126	        8064	       326	   20
127	        8128	       303	   20
128	        8192	       264	   20
129	        8256	       285	   20
130	        8320	       278	   20
131	        8384	       300	   20
132	        8448	        44	   20
133	        8512	       295	   20
134	        8576	       272	   20
135	        8640	       284	   20
136	        8704	       261	   20
137	        8768	       267	   20
138	        8832	       270	   20
139	        8896	       266	   20
140	        8960	       274	   20
141	        9024	       284	   20
142	        9088	       286	   20
143	        9152	        44	   20
144	        9216	       122	   20
145	        9280	       285	   20
146	        9344	       265	   20
147	        9408	       268	   20
148	        9472	       285	   20
149	        9536	       272	   20
150	        9600	       282	   20
151	        9664	       308	   20
152	        9728	       278	   20
153	        9792	       266	   20
154	        9856	        39	   20
155	        9920	       146	   20
156	        9984	       270	   20
157	       10048	       310	   20
158	       10112	       288	   20
159	       10176	       271	   20
160	       10240	       273	   20
161	       10304	       264	   20
162	       10368	       276	   20
163	       10432	       282	   20
164	       10496	       315	   20
165	       10560	       260	   20
166	       10624	       272	   20
167	       10688	       304	   20
168	       10752	       266	   20
169	       10816	       266	   20
170	       10880	       266	   20
171	       10944	       292	   20
172	       11008	       279	   20
173	       11072	       266	   20
174	       11136	       266	   20
175	       11200	       358	   20
176	       11264	        51	   20
177	       11328	       283	   20
178	       11392	       289	   20
179	       11456	       304	   20
180	       11520	       271	   20
181	       11584	       273	   20
182	       11648	       270	   20
183	       11712	       279	   20
184	       11776	       265	   20
185	       11840	       279	   20
186	       11904	       267	   20
187	       11968	        46	   20
188	       12032	       267	   20
189	       12096	       277	   20
190	       12160	       272	   20
191	       12224	       272	   20
192	       12288	       301	   20
193	       12352	       300	   20
194	       12416	       292	   20
195	       12480	       315	   20
196	       12544	       297	   20
197	       12608	       319	   20
198	       12672	       326	   20
199	       12736	       310	   20

