stride_lines	stride_bytes	train_step	avg_ns
1	64	1	228
1	64	2	200
1	64	3	160
1	64	4	76
1	64	5	72
1	64	6	115
1	64	7	73
1	64	8	69
1	64	9	74
1	64	10	71
1	64	11	73
1	64	12	79
1	64	13	73
1	64	14	76
1	64	15	72
1	64	16	76
1	64	17	73
1	64	18	73
1	64	19	76
1	64	20	75
1	64	21	75
1	64	22	76
1	64	23	72
1	64	24	72
1	64	25	73
1	64	26	75
1	64	27	72
1	64	28	74
1	64	29	72
1	64	30	70
1	64	31	76
1	64	32	73
1	64	33	75
1	64	34	76
1	64	35	74
1	64	36	76
1	64	37	72
1	64	38	79
1	64	39	71
1	64	40	75
2	128	1	195
2	128	2	204
2	128	3	192
2	128	4	153
2	128	5	123
2	128	6	80
2	128	7	74
2	128	8	73
2	128	9	73
2	128	10	70
2	128	11	71
2	128	12	73
2	128	13	70
2	128	14	71
2	128	15	73
2	128	16	71
2	128	17	73
2	128	18	76
2	128	19	73
2	128	20	70
2	128	21	73
2	128	22	74
2	128	23	71
2	128	24	73
2	128	25	74
2	128	26	70
2	128	27	76
2	128	28	74
2	128	29	200
2	128	30	73
2	128	31	77
2	128	32	208
2	128	33	200
2	128	34	196
2	128	35	166
2	128	36	133
2	128	37	132
2	128	38	79
2	128	39	217
2	128	40	67
3	192	1	208
3	192	2	203
3	192	3	196
3	192	4	169
3	192	5	128
3	192	6	74
3	192	7	72
3	192	8	76
3	192	9	72
3	192	10	75
3	192	11	75
3	192	12	74
3	192	13	73
3	192	14	76
3	192	15	73
3	192	16	73
3	192	17	77
3	192	18	71
3	192	19	76
3	192	20	74
3	192	21	69
3	192	22	205
3	192	23	208
3	192	24	203
3	192	25	176
3	192	26	135
3	192	27	143
3	192	28	70
3	192	29	76
3	192	30	71
3	192	31	72
3	192	32	73
3	192	33	76
3	192	34	72
3	192	35	80
3	192	36	75
3	192	37	74
3	192	38	74
3	192	39	70
3	192	40	75
4	256	1	207
4	256	2	205
4	256	3	193
4	256	4	163
4	256	5	129
4	256	6	76
4	256	7	69
4	256	8	73
4	256	9	73
4	256	10	73
4	256	11	75
4	256	12	74
4	256	13	73
4	256	14	76
4	256	15	73
4	256	16	208
4	256	17	206
4	256	18	197
4	256	19	146
4	256	20	142
4	256	21	144
4	256	22	71
4	256	23	75
4	256	24	72
4	256	25	70
4	256	26	71
4	256	27	73
4	256	28	76
4	256	29	76
4	256	30	73
4	256	31	73
4	256	32	202
4	256	33	206
4	256	34	182
4	256	35	156
4	256	36	137
4	256	37	136
4	256	38	76
4	256	39	75
4	256	40	73
5	320	1	209
5	320	2	199
5	320	3	193
5	320	4	158
5	320	5	171
5	320	6	79
5	320	7	75
5	320	8	76
5	320	9	73
5	320	10	73
5	320	11	72
5	320	12	75
5	320	13	202
5	320	14	202
5	320	15	200
5	320	16	192
5	320	17	132
5	320	18	150
5	320	19	73
5	320	20	72
5	320	21	76
5	320	22	72
5	320	23	75
5	320	24	75
5	320	25	75
5	320	26	203
5	320	27	208
5	320	28	198
5	320	29	197
5	320	30	140
5	320	31	150
5	320	32	76
5	320	33	74
5	320	34	75
5	320	35	73
5	320	36	75
5	320	37	76
5	320	38	75
5	320	39	205
5	320	40	200
6	384	1	206
6	384	2	201
6	384	3	196
6	384	4	200
6	384	5	128
6	384	6	71
6	384	7	72
6	384	8	75
6	384	9	69
6	384	10	75
6	384	11	213
6	384	12	199
6	384	13	205
6	384	14	180
6	384	15	159
6	384	16	181
6	384	17	79
6	384	18	73
6	384	19	73
6	384	20	72
6	384	21	74
6	384	22	208
6	384	23	194
6	384	24	200
6	384	25	185
6	384	26	146
6	384	27	179
6	384	28	73
6	384	29	71
6	384	30	73
6	384	31	72
6	384	32	196
6	384	33	211
6	384	34	200
6	384	35	182
6	384	36	164
6	384	37	165
6	384	38	72
6	384	39	75
6	384	40	75
7	448	1	206
7	448	2	196
7	448	3	206
7	448	4	153
7	448	5	126
7	448	6	74
7	448	7	76
7	448	8	75
7	448	9	73
7	448	10	211
7	448	11	202
7	448	12	201
7	448	13	197
7	448	14	150
7	448	15	146
7	448	16	77
7	448	17	74
7	448	18	73
7	448	19	206
7	448	20	197
7	448	21	196
7	448	22	175
7	448	23	158
7	448	24	150
7	448	25	76
7	448	26	73
7	448	27	72
7	448	28	196
7	448	29	196
7	448	30	196
7	448	31	178
7	448	32	145
7	448	33	160
7	448	34	83
7	448	35	75
7	448	36	73
7	448	37	203
7	448	38	203
