train_step	probe_pos	offset_bytes	role	avg_ns
7	6	1920	accessed	86
7	7	2240	candidate	88
7	8	2560	candidate	87
7	9	2880	candidate	89
7	10	3200	candidate	230
7	11	3520	candidate	232
7	12	3840	candidate	222
7	13	4160	candidate	223
7	14	4480	candidate	238
7	15	4800	candidate	220
7	16	5120	candidate	221
7	17	5440	candidate	233
7	18	5760	candidate	223
7	19	6080	candidate	219
7	20	6400	candidate	232
7	21	6720	candidate	220
7	22	7040	candidate	220
7	23	7360	candidate	229
7	24	7680	candidate	265
7	25	8000	candidate	226
7	26	8320	candidate	236
7	27	8640	candidate	239
7	28	8960	candidate	226
7	29	9280	candidate	247
7	30	9600	candidate	238
7	31	9920	candidate	227
7	32	10240	candidate	242
7	33	10560	candidate	241
7	34	10880	candidate	227
7	35	11200	candidate	226
7	36	11520	candidate	235
7	37	11840	candidate	230
7	38	12160	candidate	227
7	39	12480	candidate	238
8	0	0	accessed	87
8	1	320	accessed	85
8	2	640	accessed	83
8	3	960	accessed	86
8	4	1280	accessed	83
8	5	1600	accessed	83
8	6	1920	accessed	84
8	7	2240	accessed	83
8	8	2560	candidate	93
8	9	2880	candidate	99
8	10	3200	candidate	93
8	11	3520	candidate	234
8	12	3840	candidate	223
8	13	4160	candidate	230
8	14	4480	candidate	233
8	15	4800	candidate	225
8	16	5120	candidate	233
8	17	5440	candidate	239
8	18	5760	candidate	223
8	19	6080	candidate	223
8	20	6400	candidate	240
8	21	6720	candidate	227
8	22	7040	candidate	229
8	23	7360	candidate	236
8	24	7680	candidate	225
8	25	8000	candidate	226
8	26	8320	candidate	236
8	27	8640	candidate	239
8	28	8960	candidate	226
8	29	9280	candidate	236
8	30	9600	candidate	241
8	31	9920	candidate	228
8	32	10240	candidate	246
8	33	10560	candidate	235
8	34	10880	candidate	225
8	35	11200	candidate	226
8	36	11520	candidate	237
8	37	11840	candidate	233
8	38	12160	candidate	224
8	39	12480	candidate	236
9	0	0	accessed	83
9	1	320	accessed	82
9	2	640	accessed	80
9	3	960	accessed	86
9	4	1280	accessed	83
9	5	1600	accessed	87
9	6	1920	accessed	84
9	7	2240	accessed	83
9	8	2560	accessed	86
9	9	2880	candidate	89
9	10	3200	candidate	95
9	11	3520	candidate	237
9	12	3840	candidate	226
9	13	4160	candidate	229
9	14	4480	candidate	236
9	15	4800	candidate	231
9	16	5120	candidate	235
9	17	5440	candidate	238
9	18	5760	candidate	226
9	19	6080	candidate	224
9	20	6400	candidate	240
9	21	6720	candidate	227
9	22	7040	candidate	223
9	23	7360	candidate	238
9	24	7680	candidate	226
9	25	8000	candidate	227
9	26	8320	candidate	240
9	27	8640	candidate	233
9	28	8960	candidate	225
9	29	9280	candidate	230
9	30	9600	candidate	232
9	31	9920	candidate	217
9	32	10240	candidate	227
9	33	10560	candidate	230
9	34	10880	candidate	216
9	35	11200	candidate	222
9	36	11520	candidate	228
9	37	11840	candidate	215
9	38	12160	candidate	222
9	39	12480	candidate	227
10	0	0	accessed	81
10	1	320	accessed	82
10	2	640	accessed	84
10	3	960	accessed	84
10	4	1280	accessed	87
10	5	1600	accessed	85
10	6	1920	accessed	86
10	7	2240	accessed	83
10	8	2560	accessed	84
10	9	2880	accessed	86
10	10	3200	candidate	93
10	11	3520	candidate	89
10	12	3840	candidate	86
10	13	4160	candidate	229
10	14	4480	candidate	229
10	15	4800	candidate	223
10	16	5120	candidate	221
10	17	5440	candidate	226
10	18	5760	candidate	220
10	19	6080	candidate	222
10	20	6400	candidate	228
10	21	6720	candidate	215
10	22	7040	candidate	217
10	23	7360	candidate	221
10	24	7680	candidate	215
10	25	8000	candidate	218
10	26	8320	candidate	219
10	27	8640	candidate	228
10	28	8960	candidate	218
10	29	9280	candidate	228
10	30	9600	candidate	217
10	31	9920	candidate	218
10	32	10240	candidate	225
10	33	10560	candidate	234
10	34	10880	candidate	220
10	35	11200	candidate	223
10	36	11520	candidate	227
10	37	11840	candidate	215
10	38	12160	candidate	221
10	39	12480	candidate	231
11	0	0	accessed	81
11	1	320	accessed	86
11	2	640	accessed	79
11	3	960	accessed	86
11	4	1280	accessed	89
11	5	1600	accessed	87
11	6	1920	accessed	88
11	7	2240	accessed	83
11	8	2560	accessed	90
11	9	2880	accessed	83
11	10	3200	accessed	81
11	11	3520	candidate	93
11	12	3840	candidate	90
11	13	4160	candidate	225
11	14	4480	candidate	229
11	15	4800	candidate	217
11	16	5120	candidate	220
11	17	5440	candidate	226
11	18	5760	candidate	216
11	19	6080	candidate	223
11	20	6400	candidate	234
11	21	6720	candidate	219
11	22	7040	candidate	219
11	23	7360	candidate	229
11	24	7680	candidate	223
11	25	8000	candidate	224
11	26	8320	candidate	231
11	27	8640	candidate	227
11	28	8960	candidate	216
11	29	9280	candidate	227
11	30	9600	candidate	261
11	31	9920	candidate	221
11	32	10240	candidate	223
11	33	10560	candidate	255
11	34	10880	candidate	221
11	35	11200	candidate	222
11	36	11520	candidate	227
11	37	11840	candidate	220
11	38	12160	candidate	220
11	39	12480	candidate	223
12	0	0	accessed	82
12	1	320	accessed	83
12	2	640	accessed	86
12	3	960	accessed	82
12	4	1280	accessed	83
12	5	1600	accessed	87
12	6	1920	accessed	83
12	7	2240	accessed	84
12	8	2560	accessed	83
12	9	2880	accessed	84
12	10	3200	accessed	86
12	11	3520	accessed	83
12	12	3840	candidate	91
12	13	4160	candidate	226
12	14	4480	candidate	224
12	15	4800	candidate	223
12	16	5120	candidate	224
12	17	5440	candidate	233
12	18	5760	candidate	223
12	19	6080	candidate	222
12	20	6400	candidate	226
12	21	6720	candidate	220
12	22	7040	candidate	227
12	23	7360	candidate	223
12	24	7680	candidate	223
12	25	8000	candidate	224
12	26	8320	candidate	225
12	27	8640	candidate	230
12	28	8960	candidate	223
12	29	9280	candidate	223
12	30	9600	candidate	230
12	31	9920	candidate	223
12	32	10240	candidate	222
12	33	10560	candidate	225
12	34	10880	candidate	219
12	35	11200	candidate	222
12	36	11520	candidate	225
12	37	11840	candidate	219
12	38	12160	candidate	219
12	39	12480	candidate	217
13	0	0	accessed	87
13	1	320	accessed	85
13	2	640	accessed	86
13	3	960	accessed	84
13	4	1280	accessed	86
13	5	1600	accessed	86
13	6	1920	accessed	87
13	7	2240	accessed	83
13	8	2560	accessed	83
13	9	2880	accessed	88
13	10	3200	accessed	82
13	11	3520	accessed	83
13	12	3840	accessed	83
13	13	4160	candidate	224
13	14	4480	candidate	226
13	15	4800	candidate	216
13	16	5120	candidate	223
13	17	5440	candidate	224
13	18	5760	candidate	218
13	19	6080	candidate	217
13	20	6400	candidate	220
13	21	6720	candidate	219
13	22	7040	candidate	225
13	23	7360	candidate	229
13	24	7680	candidate	225
13	25	8000	candidate	221
13	26	8320	candidate	229
13	27	8640	candidate	226
13	28	8960	candidate	217
13	29	9280	candidate	226
13	30	9600	candidate	226
13	31	9920	candidate	216
13	32	10240	candidate	222
13	33	10560	candidate	226
13	34	10880	candidate	214
13	35	11200	candidate	215
13	36	11520	candidate	224
13	37	11840	candidate	218
13	38	12160	candidate	219
13	39	12480	candidate	223
14	0	0	accessed	84
14	1	320	accessed	85
14	2	640	accessed	84
14	3	960	accessed	84
14	4	1280	accessed	86
14	5	1600	accessed	81
14	6	1920	accessed	83
14	7	2240	accessed	85
14	8	2560	accessed	86
14	9	2880	accessed	81
14	10	3200	accessed	86
14	11	3520	accessed	83
14	12	3840	accessed	87
14	13	4160	accessed	83
14	14	4480	candidate	230
14	15	4800	candidate	213
14	16	5120	candidate	214
14	17	5440	candidate	223
14	18	5760	candidate	216
14	19	6080	candidate	216
14	20	6400	candidate	223
14	21	6720	candidate	215
14	22	7040	candidate	223
14	23	7360	candidate	219
14	24	7680	candidate	216
14	25	8000	candidate	218
14	26	8320	candidate	223
14	27	8640	candidate	223
14	28	8960	candidate	225
14	29	9280	candidate	229
14	30	9600	candidate	223
14	31	9920	candidate	213
14	32	10240	candidate	223
14	33	10560	candidate	220
14	34	10880	candidate	223
14	35	11200	candidate	216
14	36	11520	candidate	235
14	37	11840	candidate	223
14	38	12160	candidate	211
14	39	12480	candidate	226
15	0	0	accessed	85
15	1	320	accessed	79
15	2	640	accessed	83
15	3	960	accessed	86
15	4	1280	accessed	91
15	5	1600	accessed	81
15	6	1920	accessed	86
15	7	2240	accessed	79
15	8	2560	accessed	84
15	9	2880	accessed	86
15	10	3200	accessed	84
15	11	3520	accessed	87
15	12	3840	accessed	85
15	13	4160	accessed	84
15	14	4480	accessed	83
15	15	4800	candidate	222
15	16	5120	candidate	220
15	17	5440	candidate	223
15	18	5760	candidate	211
15	19	6080	candidate	213
15	20	6400	candidate	219
15	21	6720	candidate	216
15	22	7040	candidate	224
15	23	7360	candidate	224
15	24	7680	candidate	221
15	25	8000	candidate	221
15	26	8320	candidate	231
15	27	8640	candidate	229
15	28	8960	candidate	218
15	29	9280	candidate	232
15	30	9600	candidate	226
15	31	9920	candidate	220
15	32	10240	candidate	233
15	33	10560	candidate	229
15	34	10880	candidate	226
15	35	11200	candidate	215
15	36	11520	candidate	232
15	37	11840	candidate	217
15	38	12160	candidate	220
15	39	12480	candidate	231
16	0	0	accessed	80
16	1	320	accessed	81
16	2	640	accessed	84
16	3	960	accessed	82
16	4	1280	accessed	85
16	5	1600	accessed	84
16	6	1920	accessed	85
16	7	2240	accessed	83
16	8	2560	accessed	86
16	9	2880	accessed	83
16	10	3200	accessed	87
16	11	3520	accessed	81
16	12	3840	accessed	86
16	13	4160	accessed	86
16	14	4480	accessed	85
16	15	4800	accessed	85
16	16	5120	candidate	228
16	17	5440	candidate	234
16	18	5760	candidate	212
16	19	6080	candidate	220
16	20	6400	candidate	233
16	21	6720	candidate	223
16	22	7040	candidate	226
16	23	7360	candidate	229
16	24	7680	candidate	227
16	25	8000	candidate	224
16	26	8320	candidate	233
16	27	8640	candidate	237
16	28	8960	candidate	221
16	29	9280	candidate	232
16	30	9600	candidate	233
16	31	9920	candidate	222
16	32	10240	candidate	236
16	33	10560	candidate	235
16	34	10880	candidate	218
16	35	11200	candidate	226
16	36	11520	candidate	236
16	37	11840	candidate	219
16	38	12160	candidate	223
16	39	12480	candidate	229
17	0	0	accessed	80
17	1	320	accessed	80
17	2	640	accessed	81
17	3	960	accessed	86
17	4	1280	accessed	83
17	5	1600	accessed	84
17	6	1920	accessed	82
17	7	2240	accessed	83
17	8	2560	accessed	84
17	9	2880	accessed	88
17	10	3200	accessed	83
17	11	3520	accessed	84
17	12	3840	accessed	79
17	13	4160	accessed	83
17	14	4480	accessed	83
17	15	4800	accessed	83
17	16	5120	accessed	84
17	17	5440	candidate	116
17	18	5760	candidate	111
17	19	6080	candidate	111
17	20	6400	candidate	233
17	21	6720	candidate	226
17	22	7040	candidate	226
17	23	7360	candidate	232
17	24	7680	candidate	224
17	25	8000	candidate	223
17	26	8320	candidate	234
17	27	8640	candidate	231
17	28	8960	candidate	223
17	29	9280	candidate	230
17	30	9600	candidate	231
17	31	9920	candidate	226
17	32	10240	candidate	229
17	33	10560	candidate	236
17	34	10880	candidate	222
17	35	11200	candidate	222
17	36	11520	candidate	236
17	37	11840	candidate	226
17	38	12160	candidate	222
17	39	12480	candidate	235
18	0	0	accessed	83
18	1	320	accessed	83
18	2	640	accessed	83
18	3	960	accessed	83
18	4	1280	accessed	84
18	5	1600	accessed	80
18	6	1920	accessed	82
18	7	2240	accessed	84
18	8	2560	accessed	85
18	9	2880	accessed	84
18	10	3200	accessed	87
18	11	3520	accessed	81
18	12	3840	accessed	84
18	13	4160	accessed	80
18	14	4480	accessed	86
18	15	4800	accessed	82
18	16	5120	accessed	86
18	17	5440	accessed	83
18	18	5760	candidate	110
18	19	6080	candidate	114
18	20	6400	candidate	115
18	21	6720	candidate	226
18	22	7040	candidate	229
18	23	7360	candidate	229
18	24	7680	candidate	228
18	25	8000	candidate	242
18	26	8320	candidate	233
18	27	8640	candidate	236
18	28	8960	candidate	224
18	29	9280	candidate	236
18	30	9600	candidate	235
18	31	9920	candidate	225
18	32	10240	candidate	230
18	33	10560	candidate	235
18	34	10880	candidate	223
18	35	11200	candidate	222
18	36	11520	candidate	236
18	37	11840	candidate	223
18	38	12160	candidate	222
18	39	12480	candidate	237
19	0	0	accessed	83
19	1	320	accessed	83
