stride_lines	stride_bytes	train_step	avg_ns
10	640	37	93
10	640	38	93
10	640	39	132
11	704	0	216
11	704	1	216
11	704	2	223
11	704	3	153
11	704	4	93
11	704	5	89
11	704	6	87
11	704	7	110
11	704	8	143
11	704	9	156
11	704	10	90
11	704	11	93
11	704	12	89
11	704	13	90
11	704	14	92
11	704	15	97
11	704	16	92
11	704	17	86
11	704	18	124
11	704	19	122
11	704	20	116
11	704	21	229
11	704	22	93
11	704	23	91
11	704	24	155
11	704	25	96
11	704	26	86
11	704	27	110
11	704	28	114
11	704	29	96
11	704	30	212
11	704	31	110
11	704	32	101
11	704	33	95
11	704	34	88
11	704	35	96
11	704	36	97
11	704	37	103
11	704	38	96
11	704	39	83
12	768	0	219
12	768	1	211
12	768	2	216
12	768	3	220
12	768	4	152
12	768	5	99
12	768	6	100
12	768	7	93
12	768	8	89
12	768	9	93
12	768	10	89
12	768	11	86
12	768	12	90
12	768	13	91
12	768	14	93
12	768	15	90
12	768	16	90
12	768	17	94
12	768	18	87
12	768	19	89
12	768	20	94
12	768	21	126
12	768	22	93
12	768	23	154
12	768	24	92
12	768	25	87
12	768	26	128
12	768	27	96
12	768	28	106
12	768	29	94
12	768	30	100
12	768	31	87
12	768	32	89
12	768	33	90
12	768	34	85
12	768	35	84
12	768	36	86
12	768	37	82
12	768	38	87
12	768	39	85
13	832	0	220
13	832	1	212
13	832	2	216
13	832	3	95
13	832	4	88
13	832	5	91
13	832	6	92
13	832	7	90
13	832	8	113
13	832	9	225
13	832	10	86
13	832	11	87
13	832	12	89
13	832	13	98
13	832	14	93
13	832	15	169
13	832	16	91
13	832	17	94
13	832	18	95
13	832	19	92
13	832	20	94
13	832	21	90
13	832	22	187
13	832	23	89
13	832	24	123
13	832	25	124
13	832	26	125
13	832	27	107
13	832	28	173
13	832	29	103
13	832	30	117
13	832	31	86
13	832	32	87
13	832	33	85
13	832	34	85
13	832	35	89
13	832	36	83
13	832	37	86
13	832	38	85
13	832	39	87
14	896	0	215
14	896	1	212
14	896	2	219
14	896	3	211
14	896	4	90
14	896	5	90
14	896	6	200
14	896	7	210
14	896	8	135
14	896	9	93
14	896	10	90
14	896	11	92
14	896	12	92
14	896	13	91
14	896	14	93
14	896	15	141
14	896	16	173
14	896	17	108
14	896	18	93
14	896	19	94
14	896	20	114
14	896	21	116
14	896	22	128
14	896	23	130
14	896	24	100
14	896	25	90
14	896	26	111
14	896	27	94
14	896	28	116
