active_pages	stream	avg_latency_ns	prefetched	threshold_ns	probes
10	0	83	yes	120	1000
10	1	81	yes	120	1000
10	2	79	yes	120	1000
10	3	79	yes	120	1000
10	4	80	yes	120	1000
10	5	80	yes	120	1000
10	6	81	yes	120	1000
10	7	80	yes	120	1000
10	8	82	yes	120	1000
10	9	81	yes	120	1000
