active_pages	stream	avg_latency_ns	prefetched	threshold_ns	probes
13	0	207	no	120	1000
13	1	204	no	120	1000
13	2	203	no	120	1000
13	3	205	no	120	1000
13	4	203	no	120	1000
13	5	202	no	120	1000
13	6	205	no	120	1000
13	7	204	no	120	1000
13	8	203	no	120	1000
13	9	205	no	120	1000
13	10	205	no	120	1000
13	11	204	no	120	1000
13	12	204	no	120	1000
