competitors	probe_line	offset_bytes	role	avg_ns	prefetched	threshold_ns	probes
0	10	640	predicted	144	no	100	1000
1	10	640	predicted	140	no	100	1000
2	10	640	predicted	143	no	100	1000
3	10	640	predicted	143	no	100	1000
4	10	640	predicted	144	no	100	1000
5	10	640	predicted	144	no	100	1000
6	10	640	predicted	144	no	100	1000
7	10	640	predicted	144	no	100	1000
8	10	640	predicted	145	no	100	1000
9	10	640	predicted	143	no	100	1000
10	10	640	predicted	143	no	100	1000
11	10	640	predicted	139	no	100	1000
12	10	640	predicted	143	no	100	1000
13	10	640	predicted	143	no	100	1000
14	10	640	predicted	145	no	100	1000
15	10	640	predicted	143	no	100	1000
16	10	640	predicted	140	no	100	1000
17	10	640	predicted	144	no	100	1000
18	10	640	predicted	144	no	100	1000
19	10	640	predicted	144	no	100	1000
20	10	640	predicted	145	no	100	1000
21	10	640	predicted	142	no	100	1000
22	10	640	predicted	145	no	100	1000
23	10	640	predicted	143	no	100	1000
24	10	640	predicted	142	no	100	1000
25	10	640	predicted	146	no	100	1000
26	10	640	predicted	144	no	100	1000
27	10	640	predicted	144	no	100	1000
28	10	640	predicted	144	no	100	1000
29	10	640	predicted	145	no	100	1000
30	10	640	predicted	142	no	100	1000
31	10	640	predicted	143	no	100	1000
32	10	640	predicted	143	no	100	1000
33	10	640	predicted	141	no	100	1000
34	10	640	predicted	145	no	100	1000
35	10	640	predicted	142	no	100	1000
36	10	640	predicted	145	no	100	1000
37	10	640	predicted	142	no	100	1000
38	10	640	predicted	142	no	100	1000
39	10	640	predicted	145	no	100	1000
40	10	640	predicted	145	no	100	1000
41	10	640	predicted	144	no	100	1000
42	10	640	predicted	145	no	100	1000
43	10	640	predicted	140	no	100	1000
44	10	640	predicted	139	no	100	1000
45	10	640	predicted	142	no	100	1000
46	10	640	predicted	145	no	100	1000
47	10	640	predicted	145	no	100	1000
48	10	640	predicted	146	no	100	1000
49	10	640	predicted	144	no	100	1000
50	10	640	predicted	144	no	100	1000
51	10	640	predicted	144	no	100	1000
52	10	640	predicted	145	no	100	1000
53	10	640	predicted	144	no	100	1000
54	10	640	predicted	142	no	100	1000
55	10	640	predicted	143	no	100	1000
56	10	640	predicted	144	no	100	1000
57	10	640	predicted	140	no	100	1000
58	10	640	predicted	142	no	100	1000
59	10	640	predicted	144	no	100	1000
60	10	640	predicted	145	no	100	1000
61	10	640	predicted	143	no	100	1000
62	10	640	predicted	143	no	100	1000
63	10	640	predicted	144	no	100	1000
64	10	640	predicted	143	no	100	1000
