competitors	probe_line	offset_bytes	role	avg_ns	prefetched	threshold_ns	probes
0	10	640	predicted	139	no	100	1000
1	10	640	predicted	138	no	100	1000
2	10	640	predicted	140	no	100	1000
3	10	640	predicted	142	no	100	1000
4	10	640	predicted	143	no	100	1000
5	10	640	predicted	140	no	100	1000
6	10	640	predicted	139	no	100	1000
7	10	640	predicted	143	no	100	1000
8	10	640	predicted	140	no	100	1000
9	10	640	predicted	137	no	100	1000
10	10	640	predicted	134	no	100	1000
11	10	640	predicted	141	no	100	1000
12	10	640	predicted	141	no	100	1000
13	10	640	predicted	142	no	100	1000
14	10	640	predicted	139	no	100	1000
15	10	640	predicted	143	no	100	1000
16	10	640	predicted	140	no	100	1000
17	10	640	predicted	140	no	100	1000
18	10	640	predicted	141	no	100	1000
19	10	640	predicted	134	no	100	1000
20	10	640	predicted	140	no	100	1000
21	10	640	predicted	137	no	100	1000
22	10	640	predicted	141	no	100	1000
23	10	640	predicted	141	no	100	1000
24	10	640	predicted	140	no	100	1000
25	10	640	predicted	139	no	100	1000
26	10	640	predicted	143	no	100	1000
27	10	640	predicted	137	no	100	1000
28	10	640	predicted	140	no	100	1000
29	10	640	predicted	138	no	100	1000
30	10	640	predicted	141	no	100	1000
31	10	640	predicted	132	no	100	1000
32	10	640	predicted	143	no	100	1000
33	10	640	predicted	140	no	100	1000
34	10	640	predicted	142	no	100	1000
35	10	640	predicted	142	no	100	1000
36	10	640	predicted	139	no	100	1000
37	10	640	predicted	142	no	100	1000
38	10	640	predicted	137	no	100	1000
39	10	640	predicted	141	no	100	1000
40	10	640	predicted	143	no	100	1000
41	10	640	predicted	142	no	100	1000
42	10	640	predicted	145	no	100	1000
43	10	640	predicted	144	no	100	1000
44	10	640	predicted	140	no	100	1000
45	10	640	predicted	138	no	100	1000
46	10	640	predicted	137	no	100	1000
47	10	640	predicted	131	no	100	1000
48	10	640	predicted	140	no	100	1000
49	10	640	predicted	141	no	100	1000
50	10	640	predicted	142	no	100	1000
51	10	640	predicted	139	no	100	1000
52	10	640	predicted	126	no	100	1000
53	10	640	predicted	127	no	100	1000
54	10	640	predicted	138	no	100	1000
55	10	640	predicted	139	no	100	1000
56	10	640	predicted	142	no	100	1000
57	10	640	predicted	139	no	100	1000
58	10	640	predicted	141	no	100	1000
59	10	640	predicted	139	no	100	1000
60	10	640	predicted	140	no	100	1000
61	10	640	predicted	141	no	100	1000
62	10	640	predicted	134	no	100	1000
63	10	640	predicted	142	no	100	1000
64	10	640	predicted	142	no	100	1000
65	10	640	predicted	140	no	100	1000
66	10	640	predicted	141	no	100	1000
67	10	640	predicted	140	no	100	1000
68	10	640	predicted	141	no	100	1000
69	10	640	predicted	139	no	100	1000
70	10	640	predicted	135	no	100	1000
71	10	640	predicted	139	no	100	1000
72	10	640	predicted	139	no	100	1000
73	10	640	predicted	140	no	100	1000
74	10	640	predicted	141	no	100	1000
75	10	640	predicted	141	no	100	1000
76	10	640	predicted	139	no	100	1000
77	10	640	predicted	141	no	100	1000
78	10	640	predicted	142	no	100	1000
79	10	640	predicted	140	no	100	1000
80	10	640	predicted	141	no	100	1000
81	10	640	predicted	143	no	100	1000
82	10	640	predicted	140	no	100	1000
83	10	640	predicted	143	no	100	1000
84	10	640	predicted	137	no	100	1000
85	10	640	predicted	142	no	100	1000
86	10	640	predicted	138	no	100	1000
87	10	640	predicted	127	no	100	1000
88	10	640	predicted	133	no	100	1000
89	10	640	predicted	133	no	100	1000
90	10	640	predicted	127	no	100	1000
91	10	640	predicted	130	no	100	1000
92	10	640	predicted	140	no	100	1000
93	10	640	predicted	139	no	100	1000
