competitors	probe_line	offset_bytes	role	avg_ns	prefetched	threshold_ns	probes
0	30	1920	predicted	115	yes	175	1000
1	30	1920	predicted	135	yes	175	1000
2	30	1920	predicted	128	yes	175	1000
3	30	1920	predicted	136	yes	175	1000
4	30	1920	predicted	134	yes	175	1000
5	30	1920	predicted	96	yes	175	1000
6	30	1920	predicted	93	yes	175	1000
7	30	1920	predicted	93	yes	175	1000
8	30	1920	predicted	104	yes	175	1000
9	30	1920	predicted	96	yes	175	1000
10	30	1920	predicted	94	yes	175	1000
11	30	1920	predicted	96	yes	175	1000
12	30	1920	predicted	95	yes	175	1000
13	30	1920	predicted	98	yes	175	1000
14	30	1920	predicted	103	yes	175	1000
15	30	1920	predicted	114	yes	175	1000
16	30	1920	predicted	197	no	175	1000
17	30	1920	predicted	174	yes	175	1000
18	30	1920	predicted	171	yes	175	1000
19	30	1920	predicted	170	yes	175	1000
20	30	1920	predicted	179	no	175	1000
21	30	1920	predicted	174	yes	175	1000
22	30	1920	predicted	176	no	175	1000
23	30	1920	predicted	173	yes	175	1000
24	30	1920	predicted	177	no	175	1000
25	30	1920	predicted	180	no	175	1000
26	30	1920	predicted	173	yes	175	1000
27	30	1920	predicted	175	yes	175	1000
28	30	1920	predicted	170	yes	175	1000
29	30	1920	predicted	175	yes	175	1000
30	30	1920	predicted	177	no	175	1000
31	30	1920	predicted	174	yes	175	1000
32	30	1920	predicted	180	no	175	1000
33	30	1920	predicted	171	yes	175	1000
34	30	1920	predicted	171	yes	175	1000
35	30	1920	predicted	176	no	175	1000
36	30	1920	predicted	171	yes	175	1000
37	30	1920	predicted	178	no	175	1000
38	30	1920	predicted	172	yes	175	1000
39	30	1920	predicted	176	no	175	1000
40	30	1920	predicted	175	yes	175	1000
41	30	1920	predicted	179	no	175	1000
42	30	1920	predicted	178	no	175	1000
43	30	1920	predicted	174	yes	175	1000
44	30	1920	predicted	178	no	175	1000
45	30	1920	predicted	178	no	175	1000
46	30	1920	predicted	174	yes	175	1000
47	30	1920	predicted	178	no	175	1000
48	30	1920	predicted	176	no	175	1000
49	30	1920	predicted	176	no	175	1000
50	30	1920	predicted	174	yes	175	1000
51	30	1920	predicted	176	no	175	1000
52	30	1920	predicted	175	yes	175	1000
53	30	1920	predicted	169	yes	175	1000
54	30	1920	predicted	172	yes	175	1000
55	30	1920	predicted	167	yes	175	1000
56	30	1920	predicted	170	yes	175	1000
57	30	1920	predicted	175	yes	175	1000
58	30	1920	predicted	178	no	175	1000
59	30	1920	predicted	176	no	175	1000
60	30	1920	predicted	171	yes	175	1000
61	30	1920	predicted	168	yes	175	1000
62	30	1920	predicted	173	yes	175	1000
63	30	1920	predicted	174	yes	175	1000
64	30	1920	predicted	171	yes	175	1000
