competitors	probe_line	offset_bytes	role	avg_ns	prefetched	threshold_ns	probes
0	10	640	predicted	142	no	100	1000
1	10	640	predicted	140	no	100	1000
2	10	640	predicted	146	no	100	1000
3	10	640	predicted	142	no	100	1000
4	10	640	predicted	145	no	100	1000
5	10	640	predicted	145	no	100	1000
6	10	640	predicted	145	no	100	1000
7	10	640	predicted	145	no	100	1000
8	10	640	predicted	143	no	100	1000
9	10	640	predicted	143	no	100	1000
10	10	640	predicted	145	no	100	1000
11	10	640	predicted	146	no	100	1000
12	10	640	predicted	146	no	100	1000
13	10	640	predicted	143	no	100	1000
14	10	640	predicted	140	no	100	1000
15	10	640	predicted	144	no	100	1000
16	10	640	predicted	145	no	100	1000
17	10	640	predicted	145	no	100	1000
18	10	640	predicted	142	no	100	1000
19	10	640	predicted	144	no	100	1000
20	10	640	predicted	147	no	100	1000
21	10	640	predicted	144	no	100	1000
22	10	640	predicted	142	no	100	1000
23	10	640	predicted	144	no	100	1000
24	10	640	predicted	146	no	100	1000
25	10	640	predicted	144	no	100	1000
26	10	640	predicted	145	no	100	1000
27	10	640	predicted	145	no	100	1000
28	10	640	predicted	143	no	100	1000
29	10	640	predicted	143	no	100	1000
30	10	640	predicted	145	no	100	1000
31	10	640	predicted	145	no	100	1000
32	10	640	predicted	143	no	100	1000
33	10	640	predicted	142	no	100	1000
34	10	640	predicted	143	no	100	1000
35	10	640	predicted	144	no	100	1000
36	10	640	predicted	144	no	100	1000
37	10	640	predicted	143	no	100	1000
38	10	640	predicted	147	no	100	1000
39	10	640	predicted	148	no	100	1000
40	10	640	predicted	145	no	100	1000
41	10	640	predicted	142	no	100	1000
42	10	640	predicted	141	no	100	1000
43	10	640	predicted	144	no	100	1000
44	10	640	predicted	141	no	100	1000
45	10	640	predicted	143	no	100	1000
46	10	640	predicted	144	no	100	1000
47	10	640	predicted	144	no	100	1000
48	10	640	predicted	145	no	100	1000
49	10	640	predicted	145	no	100	1000
50	10	640	predicted	142	no	100	1000
51	10	640	predicted	143	no	100	1000
52	10	640	predicted	145	no	100	1000
53	10	640	predicted	146	no	100	1000
54	10	640	predicted	144	no	100	1000
55	10	640	predicted	144	no	100	1000
56	10	640	predicted	139	no	100	1000
57	10	640	predicted	135	no	100	1000
58	10	640	predicted	142	no	100	1000
59	10	640	predicted	145	no	100	1000
60	10	640	predicted	143	no	100	1000
61	10	640	predicted	144	no	100	1000
62	10	640	predicted	145	no	100	1000
63	10	640	predicted	143	no	100	1000
64	10	640	predicted	144	no	100	1000
65	10	640	predicted	145	no	100	1000
66	10	640	predicted	144	no	100	1000
67	10	640	predicted	144	no	100	1000
68	10	640	predicted	143	no	100	1000
69	10	640	predicted	145	no	100	1000
70	10	640	predicted	141	no	100	1000
71	10	640	predicted	142	no	100	1000
72	10	640	predicted	144	no	100	1000
73	10	640	predicted	145	no	100	1000
74	10	640	predicted	144	no	100	1000
75	10	640	predicted	142	no	100	1000
76	10	640	predicted	146	no	100	1000
77	10	640	predicted	141	no	100	1000
78	10	640	predicted	144	no	100	1000
79	10	640	predicted	144	no	100	1000
80	10	640	predicted	143	no	100	1000
81	10	640	predicted	143	no	100	1000
82	10	640	predicted	144	no	100	1000
83	10	640	predicted	141	no	100	1000
84	10	640	predicted	144	no	100	1000
85	10	640	predicted	142	no	100	1000
86	10	640	predicted	146	no	100	1000
87	10	640	predicted	144	no	100	1000
88	10	640	predicted	143	no	100	1000
89	10	640	predicted	144	no	100	1000
90	10	640	predicted	142	no	100	1000
91	10	640	predicted	146	no	100	1000
92	10	640	predicted	146	no	100	1000
93	10	640	predicted	143	no	100	1000
94	10	640	predicted	145	no	100	1000
95	10	640	predicted	143	no	100	1000
96	10	640	predicted	144	no	100	1000
97	10	640	predicted	144	no	100	1000
98	10	640	predicted	144	no	100	1000
99	10	640	predicted	145	no	100	1000
100	10	640	predicted	144	no	100	1000
101	10	640	predicted	144	no	100	1000
102	10	640	predicted	145	no	100	1000
103	10	640	predicted	143	no	100	1000
104	10	640	predicted	145	no	100	1000
105	10	640	predicted	144	no	100	1000
106	10	640	predicted	143	no	100	1000
107	10	640	predicted	145	no	100	1000
108	10	640	predicted	146	no	100	1000
109	10	640	predicted	141	no	100	1000
110	10	640	predicted	145	no	100	1000
111	10	640	predicted	145	no	100	1000
112	10	640	predicted	148	no	100	1000
113	10	640	predicted	144	no	100	1000
114	10	640	predicted	144	no	100	1000
115	10	640	predicted	144	no	100	1000
116	10	640	predicted	144	no	100	1000
117	10	640	predicted	145	no	100	1000
118	10	640	predicted	144	no	100	1000
119	10	640	predicted	143	no	100	1000
120	10	640	predicted	141	no	100	1000
121	10	640	predicted	145	no	100	1000
122	10	640	predicted	145	no	100	1000
123	10	640	predicted	143	no	100	1000
124	10	640	predicted	146	no	100	1000
125	10	640	predicted	140	no	100	1000
126	10	640	predicted	146	no	100	1000
127	10	640	predicted	145	no	100	1000
128	10	640	predicted	146	no	100	1000
129	10	640	predicted	144	no	100	1000
130	10	640	predicted	144	no	100	1000
131	10	640	predicted	144	no	100	1000
132	10	640	predicted	146	no	100	1000
133	10	640	predicted	143	no	100	1000
134	10	640	predicted	145	no	100	1000
135	10	640	predicted	143	no	100	1000
136	10	640	predicted	145	no	100	1000
137	10	640	predicted	142	no	100	1000
138	10	640	predicted	127	no	100	1000
139	10	640	predicted	133	no	100	1000
140	10	640	predicted	134	no	100	1000
141	10	640	predicted	141	no	100	1000
142	10	640	predicted	142	no	100	1000
143	10	640	predicted	141	no	100	1000
144	10	640	predicted	140	no	100	1000
145	10	640	predicted	139	no	100	1000
146	10	640	predicted	147	no	100	1000
147	10	640	predicted	142	no	100	1000
148	10	640	predicted	140	no	100	1000
149	10	640	predicted	142	no	100	1000
150	10	640	predicted	143	no	100	1000
151	10	640	predicted	144	no	100	1000
152	10	640	predicted	145	no	100	1000
153	10	640	predicted	142	no	100	1000
154	10	640	predicted	144	no	100	1000
155	10	640	predicted	144	no	100	1000
156	10	640	predicted	144	no	100	1000
157	10	640	predicted	142	no	100	1000
158	10	640	predicted	145	no	100	1000
159	10	640	predicted	143	no	100	1000
160	10	640	predicted	147	no	100	1000
161	10	640	predicted	144	no	100	1000
162	10	640	predicted	145	no	100	1000
163	10	640	predicted	137	no	100	1000
164	10	640	predicted	136	no	100	1000
165	10	640	predicted	137	no	100	1000
166	10	640	predicted	144	no	100	1000
167	10	640	predicted	143	no	100	1000
168	10	640	predicted	144	no	100	1000
169	10	640	predicted	146	no	100	1000
170	10	640	predicted	145	no	100	1000
171	10	640	predicted	144	no	100	1000
172	10	640	predicted	143	no	100	1000
173	10	640	predicted	145	no	100	1000
174	10	640	predicted	142	no	100	1000
175	10	640	predicted	145	no	100	1000
176	10	640	predicted	144	no	100	1000
177	10	640	predicted	143	no	100	1000
178	10	640	predicted	143	no	100	1000
179	10	640	predicted	146	no	100	1000
180	10	640	predicted	144	no	100	1000
181	10	640	predicted	146	no	100	1000
182	10	640	predicted	144	no	100	1000
183	10	640	predicted	145	no	100	1000
184	10	640	predicted	146	no	100	1000
185	10	640	predicted	143	no	100	1000
186	10	640	predicted	145	no	100	1000
187	10	640	predicted	145	no	100	1000
188	10	640	predicted	144	no	100	1000
189	10	640	predicted	145	no	100	1000
190	10	640	predicted	143	no	100	1000
191	10	640	predicted	145	no	100	1000
192	10	640	predicted	145	no	100	1000
193	10	640	predicted	144	no	100	1000
194	10	640	predicted	145	no	100	1000
195	10	640	predicted	143	no	100	1000
196	10	640	predicted	146	no	100	1000
197	10	640	predicted	143	no	100	1000
198	10	640	predicted	145	no	100	1000
199	10	640	predicted	143	no	100	1000
200	10	640	predicted	146	no	100	1000
