competitors	probe_line	offset_bytes	role	avg_ns	prefetched	threshold_ns	probes
5	25	1600	predicted	196	no	120	1000
6	25	1600	predicted	206	no	120	1000
7	25	1600	predicted	197	no	120	1000
8	25	1600	predicted	199	no	120	1000
9	25	1600	predicted	196	no	120	1000
10	25	1600	predicted	195	no	120	1000
11	25	1600	predicted	194	no	120	1000
12	25	1600	predicted	197	no	120	1000
13	25	1600	predicted	195	no	120	1000
14	25	1600	predicted	197	no	120	1000
15	25	1600	predicted	187	no	120	1000
16	25	1600	predicted	194	no	120	1000
17	25	1600	predicted	185	no	120	1000
18	25	1600	predicted	193	no	120	1000
19	25	1600	predicted	190	no	120	1000
20	25	1600	predicted	195	no	120	1000
21	25	1600	predicted	194	no	120	1000
22	25	1600	predicted	208	no	120	1000
23	25	1600	predicted	197	no	120	1000
24	25	1600	predicted	194	no	120	1000
25	25	1600	predicted	194	no	120	1000
