competitors	latency_ns	victim_prefetched	threshold_ns
353	111	yes	120
354	110	yes	120
355	110	yes	120
356	108	yes	120
357	109	yes	120
358	108	yes	120
359	111	yes	120
360	111	yes	120
361	107	yes	120
362	109	yes	120
363	109	yes	120
364	110	yes	120
365	112	yes	120
366	110	yes	120
367	110	yes	120
368	112	yes	120
369	109	yes	120
370	113	yes	120
371	113	yes	120
372	113	yes	120
373	112	yes	120
374	112	yes	120
375	114	yes	120
376	112	yes	120
377	129	no	120
378	113	yes	120
379	120	yes	120
380	120	yes	120
381	115	yes	120
382	119	yes	120
383	125	no	120
384	119	yes	120
385	126	no	120
386	119	yes	120
387	118	yes	120
388	118	yes	120
389	120	yes	120
390	117	yes	120
391	118	yes	120
392	117	yes	120
393	119	yes	120
394	122	no	120
395	122	no	120
396	125	no	120
397	123	no	120
398	123	no	120
399	128	no	120
400	129	no	120
401	125	no	120
402	129	no	120
403	127	no	120
404	127	no	120
405	127	no	120
406	132	no	120
407	127	no	120
408	130	no	120
409	132	no	120
410	131	no	120
411	131	no	120
412	130	no	120
413	134	no	120
414	129	no	120
415	135	no	120
416	140	no	120
417	135	no	120
418	140	no	120
419	139	no	120
420	137	no	120
421	140	no	120
422	140	no	120
423	133	no	120
424	140	no	120
425	140	no	120
426	138	no	120
427	139	no	120
428	137	no	120
429	138	no	120
430	138	no	120
431	136	no	120
432	141	no	120
433	135	no	120
434	133	no	120
435	135	no	120
436	135	no	120
437	132	no	120
438	137	no	120
439	137	no	120
440	140	no	120
441	137	no	120
442	145	no	120
443	141	no	120
444	156	no	120
445	138	no	120
446	138	no	120
447	142	no	120
448	138	no	120
449	162	no	120
450	147	no	120
451	137	no	120
452	142	no	120
453	162	no	120
454	144	no	120
455	137	no	120
456	141	no	120
457	139	no	120
458	141	no	120
459	142	no	120
460	141	no	120
461	146	no	120
462	146	no	120
463	142	no	120
464	145	no	120
465	142	no	120
466	170	no	120
467	162	no	120
468	143	no	120
469	141	no	120
470	144	no	120
471	153	no	120
472	157	no	120
473	152	no	120
474	150	no	120
475	167	no	120
476	176	no	120
477	162	no	120
478	147	no	120
479	155	no	120
480	155	no	120
481	150	no	120
482	146	no	120
483	154	no	120
484	147	no	120
485	147	no	120
486	151	no	120
487	146	no	120
488	151	no	120
489	151	no	120
490	150	no	120
491	145	no	120
492	152	no	120
493	145	no	120
494	146	no	120
495	152	no	120
496	149	no	120
497	152	no	120
498	156	no	120
499	158	no	120
500	156	no	120
501	153	no	120
502	153	no	120
503	154	no	120
504	152	no	120
505	155	no	120
506	151	no	120
507	156	no	120
508	157	no	120
509	158	no	120
510	161	no	120
511	160	no	120
512	161	no	120
