  0	           0	        45	  400
  1	          64	       134	  400
  2	         128	       144	  400
  3	         192	       143	  400
  4	         256	       149	  400
  5	         320	       138	  400
  6	         384	       141	  400
  7	         448	       143	  400
  8	         512	       143	  400
  9	         576	       150	  400
 10	         640	       147	  400
 11	         704	        45	  400
 12	         768	       129	  400
 13	         832	       143	  400
 14	         896	       139	  400
 15	         960	       137	  400
 16	        1024	       139	  400
 17	        1088	       158	  400
 18	        1152	       146	  400
 19	        1216	       148	  400
 20	        1280	       147	  400
 21	        1344	       153	  400
 22	        1408	        47	  400
 23	        1472	       146	  400
 24	        1536	       155	  400
 25	        1600	       148	  400
 26	        1664	       147	  400
 27	        1728	       146	  400
 28	        1792	       156	  400
 29	        1856	       150	  400
 30	        1920	       151	  400
 31	        1984	       151	  400
 32	        2048	       149	  400
 33	        2112	       147	  400
 34	        2176	       158	  400
 35	        2240	       150	  400
 36	        2304	       151	  400
 37	        2368	       151	  400
 38	        2432	       158	  400
 39	        2496	       150	  400
 40	        2560	       148	  400
 41	        2624	       149	  400
 42	        2688	       150	  400
 43	        2752	       153	  400
 44	        2816	       149	  400
 45	        2880	       149	  400
 46	        2944	       147	  400
 47	        3008	       151	  400
 48	        3072	       152	  400
 49	        3136	       152	  400
 50	        3200	       151	  400
 51	        3264	       159	  400
 52	        3328	       152	  400
 53	        3392	       151	  400
 54	        3456	       149	  400
 55	        3520	       155	  400
 56	        3584	       150	  400
 57	        3648	       149	  400
 58	        3712	       157	  400
 59	        3776	       149	  400
 60	        3840	       149	  400
 61	        3904	       150	  400
 62	        3968	       155	  400
 63	        4032	       148	  400
 64	        4096	       160	  400
 65	        4160	       148	  400
 66	        4224	       152	  400
 67	        4288	       152	  400
 68	        4352	       159	  400
 69	        4416	       149	  400
 70	        4480	       150	  400
 71	        4544	       149	  400
 72	        4608	       149	  400
 73	        4672	       156	  400
 74	        4736	       150	  400
 75	        4800	       150	  400
 76	        4864	       149	  400
 77	        4928	       155	  400
 78	        4992	       151	  400
 79	        5056	       149	  400
 80	        5120	       145	  400
 81	        5184	       157	  400
 82	        5248	       148	  400
 83	        5312	       148	  400
 84	        5376	       148	  400
 85	        5440	       153	  400
 86	        5504	       146	  400
 87	        5568	       148	  400
 88	        5632	       153	  400
 89	        5696	       146	  400
 90	        5760	       147	  400
 91	        5824	       148	  400
 92	        5888	       152	  400
 93	        5952	       148	  400
 94	        6016	       150	  400
 95	        6080	       148	  400
 96	        6144	       156	  400
 97	        6208	       156	  400
 98	        6272	       161	  400
 99	        6336	       150	  400

