  0	           0	        81	  400
  1	          64	       294	  400
  2	         128	       274	  400
  3	         192	       283	  400
  4	         256	       280	  400
  5	         320	        81	  400
  6	         384	       284	  400
  7	         448	       281	  400
  8	         512	       298	  400
  9	         576	       290	  400
 10	         640	        82	  400
 11	         704	       290	  400
 12	         768	       294	  400
 13	         832	       289	  400
 14	         896	       301	  400
 15	         960	        82	  400
 16	        1024	       297	  400
 17	        1088	       292	  400
 18	        1152	       292	  400
 19	        1216	       290	  400
 20	        1280	        81	  400
 21	        1344	       303	  400
 22	        1408	       291	  400
 23	        1472	       290	  400
 24	        1536	       291	  400
 25	        1600	        82	  400
 26	        1664	       292	  400
 27	        1728	       293	  400
 28	        1792	       293	  400
 29	        1856	       292	  400
 30	        1920	       289	  400
 31	        1984	       288	  400
 32	        2048	       286	  400
 33	        2112	       291	  400
 34	        2176	       286	  400
 35	        2240	       288	  400
 36	        2304	       294	  400
 37	        2368	       292	  400
 38	        2432	       288	  400
 39	        2496	       286	  400
 40	        2560	       285	  400
 41	        2624	       283	  400
 42	        2688	       293	  400
 43	        2752	       287	  400
 44	        2816	       292	  400
 45	        2880	       295	  400
 46	        2944	       295	  400
 47	        3008	       291	  400
 48	        3072	       286	  400
 49	        3136	       291	  400
 50	        3200	       301	  400
 51	        3264	       282	  400
 52	        3328	       284	  400
 53	        3392	       289	  400
 54	        3456	       294	  400
 55	        3520	       297	  400
 56	        3584	       288	  400
 57	        3648	       284	  400
 58	        3712	       283	  400
 59	        3776	       281	  400
 60	        3840	       283	  400
 61	        3904	       284	  400
 62	        3968	       287	  400
 63	        4032	       292	  400
 64	        4096	       290	  400
 65	        4160	       292	  400
 66	        4224	       288	  400
 67	        4288	       285	  400
 68	        4352	       290	  400
 69	        4416	       289	  400
 70	        4480	       282	  400
 71	        4544	       286	  400
 72	        4608	       296	  400
 73	        4672	       295	  400
 74	        4736	       289	  400
 75	        4800	       286	  400
 76	        4864	       293	  400
 77	        4928	       295	  400
 78	        4992	       293	  400
 79	        5056	       290	  400
 80	        5120	       309	  400
 81	        5184	       300	  400
 82	        5248	       295	  400
 83	        5312	       295	  400
 84	        5376	       306	  400
 85	        5440	       294	  400
 86	        5504	       295	  400
 87	        5568	       289	  400
 88	        5632	       303	  400
 89	        5696	       298	  400
 90	        5760	       293	  400
 91	        5824	       296	  400
 92	        5888	       292	  400
 93	        5952	       301	  400
 94	        6016	       301	  400
 95	        6080	       294	  400
 96	        6144	       300	  400
 97	        6208	       299	  400
 98	        6272	       291	  400
 99	        6336	       294	  400

