  0	           0	        87	  400
  1	          64	       232	  400
  2	         128	       235	  400
  3	         192	       234	  400
  4	         256	       236	  400
  5	         320	        87	  400
  6	         384	       239	  400
  7	         448	       239	  400
  8	         512	       226	  400
  9	         576	       230	  400
 10	         640	       137	  400
 11	         704	       227	  400
 12	         768	       227	  400
 13	         832	       227	  400
 14	         896	       229	  400
 15	         960	       227	  400
 16	        1024	       237	  400
 17	        1088	       235	  400
 18	        1152	       232	  400
 19	        1216	       231	  400
 20	        1280	       235	  400
 21	        1344	       242	  400
 22	        1408	       235	  400
 23	        1472	       237	  400
 24	        1536	       227	  400
 25	        1600	       226	  400
 26	        1664	       227	  400
 27	        1728	       223	  400
 28	        1792	       226	  400
 29	        1856	       227	  400
 30	        1920	       226	  400
 31	        1984	       228	  400
 32	        2048	       232	  400
 33	        2112	       235	  400
 34	        2176	       234	  400
 35	        2240	       232	  400
 36	        2304	       240	  400
 37	        2368	       243	  400
 38	        2432	       240	  400
 39	        2496	       239	  400
 40	        2560	       227	  400
 41	        2624	       228	  400
 42	        2688	       227	  400
 43	        2752	       227	  400
 44	        2816	       227	  400
 45	        2880	       234	  400
 46	        2944	       225	  400
 47	        3008	       227	  400
 48	        3072	       232	  400
 49	        3136	       232	  400
 50	        3200	       234	  400
 51	        3264	       233	  400
 52	        3328	       237	  400
 53	        3392	       239	  400
 54	        3456	       235	  400
 55	        3520	       240	  400
 56	        3584	       228	  400
 57	        3648	       232	  400
 58	        3712	       227	  400
 59	        3776	       227	  400
 60	        3840	       225	  400
 61	        3904	       228	  400
 62	        3968	       224	  400
 63	        4032	       228	  400
 64	        4096	       237	  400
 65	        4160	       232	  400
 66	        4224	       236	  400
 67	        4288	       235	  400
 68	        4352	       240	  400
 69	        4416	       238	  400
 70	        4480	       239	  400
 71	        4544	       241	  400
 72	        4608	       229	  400
 73	        4672	       228	  400
 74	        4736	       231	  400
 75	        4800	       230	  400
 76	        4864	       229	  400
 77	        4928	       227	  400
 78	        4992	       227	  400
 79	        5056	       229	  400
 80	        5120	       235	  400
 81	        5184	       239	  400
 82	        5248	       236	  400
 83	        5312	       236	  400
 84	        5376	       239	  400
 85	        5440	       241	  400
 86	        5504	       244	  400
 87	        5568	       239	  400
 88	        5632	       231	  400
 89	        5696	       228	  400
 90	        5760	       229	  400
 91	        5824	       231	  400
 92	        5888	       232	  400
 93	        5952	       231	  400
 94	        6016	       231	  400
 95	        6080	       228	  400
 96	        6144	       237	  400
 97	        6208	       234	  400
 98	        6272	       235	  400
 99	        6336	       237	  400

