  0	           0	        45	  400
  1	          64	       154	  400
  2	         128	       155	  400
  3	         192	       153	  400
  4	         256	       161	  400
  5	         320	        45	  400
  6	         384	       152	  400
  7	         448	       153	  400
  8	         512	       154	  400
  9	         576	       160	  400
 10	         640	        44	  400
 11	         704	       152	  400
 12	         768	       152	  400
 13	         832	       160	  400
 14	         896	       153	  400
 15	         960	        47	  400
 16	        1024	       155	  400
 17	        1088	       166	  400
 18	        1152	       157	  400
 19	        1216	       153	  400
 20	        1280	        49	  400
 21	        1344	       161	  400
 22	        1408	       153	  400
 23	        1472	       156	  400
 24	        1536	       158	  400
 25	        1600	        50	  400
 26	        1664	       154	  400
 27	        1728	       156	  400
 28	        1792	       158	  400
 29	        1856	       152	  400
 30	        1920	        49	  400
 31	        1984	       153	  400
 32	        2048	       150	  400
 33	        2112	       151	  400
 34	        2176	       160	  400
 35	        2240	        50	  400
 36	        2304	       152	  400
 37	        2368	       151	  400
 38	        2432	       157	  400
 39	        2496	       156	  400
 40	        2560	        50	  400
 41	        2624	       150	  400
 42	        2688	       150	  400
 43	        2752	       152	  400
 44	        2816	       149	  400
 45	        2880	        49	  400
 46	        2944	       149	  400
 47	        3008	       153	  400
 48	        3072	       152	  400
 49	        3136	       151	  400
 50	        3200	        50	  400
 51	        3264	       159	  400
 52	        3328	       151	  400
 53	        3392	       151	  400
 54	        3456	       151	  400
 55	        3520	        49	  400
 56	        3584	       152	  400
 57	        3648	       152	  400
 58	        3712	       160	  400
 59	        3776	       156	  400
 60	        3840	        50	  400
 61	        3904	       151	  400
 62	        3968	       156	  400
 63	        4032	       150	  400
 64	        4096	       154	  400
 65	        4160	       160	  400
 66	        4224	       150	  400
 67	        4288	       151	  400
 68	        4352	       150	  400
 69	        4416	       160	  400
 70	        4480	       157	  400
 71	        4544	       152	  400
 72	        4608	       163	  400
 73	        4672	       154	  400
 74	        4736	       153	  400
 75	        4800	       153	  400
 76	        4864	       161	  400
 77	        4928	       154	  400
 78	        4992	       153	  400
 79	        5056	       150	  400
 80	        5120	       159	  400
 81	        5184	       158	  400
 82	        5248	       150	  400
 83	        5312	       149	  400
 84	        5376	       157	  400
 85	        5440	       157	  400
 86	        5504	       152	  400
 87	        5568	       151	  400
 88	        5632	       153	  400
 89	        5696	       158	  400
 90	        5760	       152	  400
 91	        5824	       151	  400
 92	        5888	       154	  400
 93	        5952	       160	  400
 94	        6016	       151	  400
 95	        6080	       157	  400
 96	        6144	       156	  400
 97	        6208	       154	  400
 98	        6272	       157	  400
 99	        6336	       162	  400

